Date,PriceCut,RegionID,RegionName,SizeRank
2010-09,14.958944726,102001,United States,0
2010-09,12.843162411,394913,"New York, NY",1
2010-09,13.037317878,753899,"Los Angeles-Long Beach-Anaheim, CA",2
2010-09,16.358709894,394463,"Chicago, IL",3
2010-09,15.387323808,394514,"Dallas-Fort Worth, TX",4
2010-09,15.476781173,394974,"Philadelphia, PA",5
2010-09,16.470864026,394692,"Houston, TX",6
2010-09,15.875967647,395209,"Washington, DC",7
2010-09,12.278022675,394856,"Miami-Fort Lauderdale, FL",8
2010-09,15.122015447,394347,"Atlanta, GA",9
2010-09,15.910021098,394404,"Boston, MA",10
2010-09,13.168814503,395057,"San Francisco, CA",11
2010-09,11.107944643,394532,"Detroit, MI",12
2010-09,12.735137186,395025,"Riverside, CA",13
2010-09,23.101571950,394976,"Phoenix, AZ",14
2010-09,19.177334252,395078,"Seattle, WA",15
2010-09,21.006811614,394865,"Minneapolis-St Paul, MN",16
2010-09,16.530452609,395056,"San Diego, CA",17
2010-09,18.055376279,395121,"St. Louis, MO",18
2010-09,15.993391968,395148,"Tampa, FL",19
2010-09,18.324224756,394358,"Baltimore, MD",20
2010-09,17.953485404,394530,"Denver, CO",21
2010-09,13.093883372,394982,"Pittsburgh, PA",22
2010-09,19.672056744,394998,"Portland, OR",23
2010-09,14.306165814,394458,"Charlotte, NC",24
2010-09,13.798274190,395045,"Sacramento, CA",25
2010-09,13.942356785,395055,"San Antonio, TX",26
2010-09,12.210940453,394943,"Orlando, FL",27
2010-09,14.997301091,394466,"Cincinnati, OH",28
2010-09,14.186951432,394475,"Cleveland, OH",29
2010-09,16.175438804,394735,"Kansas City, MO",30
2010-09,12.494204383,394775,"Las Vegas, NV",31
2010-09,15.417436655,394492,"Columbus, OH",32
2010-09,12.413566482,394705,"Indianapolis, IN",33
2010-09,13.909732666,395059,"San Jose, CA",34
2010-09,15.759351983,394355,"Austin, TX",35
2010-09,20.492136562,395194,"Virginia Beach, VA",36
2010-09,16.549040634,394902,"Nashville, TN",37
2010-09,17.355005659,395005,"Providence, RI",38
2010-09,17.842179973,394862,"Milwaukee, WI",39
2010-09,19.485047123,394714,"Jacksonville, FL",40
2010-09,12.825658174,394849,"Memphis, TN",41
2010-09,13.638694238,394935,"Oklahoma City, OK",42
2010-09,12.865630245,394807,"Louisville-Jefferson County, KY",43
2010-09,15.475303203,394669,"Hartford, CT",44
2010-09,16.978020857,395022,"Richmond, VA",45
2010-09,14.549998906,394910,"New Orleans, LA",46
2010-09,14.584042115,394425,"Buffalo, NY",47
2010-09,15.130584315,395012,"Raleigh, NC",48
2010-09,17.780252204,394388,"Birmingham, AL",49
2010-09,18.621187049,395053,"Salt Lake City, UT",50
2010-09,10.788506328,395031,"Rochester, NY",51
2010-09,14.726617170,394640,"Grand Rapids, MI",52
2010-09,24.497574721,395167,"Tucson, AZ",53
2010-09,10.349960726,753924,"Urban Honolulu, HI",54
2010-09,12.318313840,395169,"Tulsa, OK",55
2010-09,14.221509979,394619,"Fresno, CA",56
2010-09,18.930622681,395238,"Worcester, MA",57
2010-09,14.154437520,394415,"Stamford, CT",58
2010-09,17.984381307,394312,"Albuquerque, NM",59
2010-09,16.168334855,394308,"Albany, NY",60
2010-09,14.268192671,394938,"Omaha, NE",61
2010-09,14.880971722,394908,"New Haven, CT",62
2010-09,11.497455142,394357,"Bakersfield, CA",63
2010-09,14.313126463,394753,"Knoxville, TN",64
2010-09,11.679574764,394653,"Greenville, SC",65
2010-09,14.652133619,394952,"Ventura, CA",66
2010-09,15.034219915,394318,"Allentown, PA",67
2010-09,9.375806479,394561,"El Paso, TX",68
2010-09,13.788935147,394521,"Dayton, OH",70
2010-09,12.964845112,394486,"Columbia, SC",72
2010-09,12.334582118,394648,"Greensboro, NC",73
2010-09,13.453333844,394304,"Akron, OH",74
2010-09,18.700945585,753906,"North Port-Sarasota-Bradenton, FL",75
2010-09,9.772954414,394798,"Little Rock, AR",76
2010-09,11.368343872,395134,"Stockton, CA",77
2010-09,19.555936717,394457,"Charleston, SC",78
2010-09,20.943380101,394484,"Colorado Springs, CO",80
2010-09,16.472266114,395235,"Winston-Salem, NC",81
2010-09,13.079324131,395224,"Wichita, KS",82
2010-09,20.256810314,395115,"Springfield, MA",83
2010-09,15.283283956,394440,"Fort Myers, FL",84
2010-09,19.006857125,394399,"Boise City, ID",85
2010-09,10.571178115,394816,"Madison, WI",87
2010-09,17.131390675,394766,"Lakeland, FL",88
2010-09,16.638700109,394931,"Ogden, UT",89
2010-09,16.917221442,394528,"Daytona Beach, FL",90
2010-09,16.944681272,394531,"Des Moines, IA",91
2010-09,11.878649519,394711,"Jackson, MS",92
2010-09,9.659401258,394352,"Augusta, GA",94
2010-09,16.963027618,394666,"Harrisburg, PA",96
2010-09,15.273234402,394957,"Melbourne, FL",97
2010-09,13.896425665,394460,"Chattanooga, TN",98
2010-09,17.578048538,395113,"Spokane, WA",99
2010-09,14.402473717,395006,"Provo, UT",100
2010-09,12.286632607,394768,"Lancaster, PA",101
2010-09,14.154682075,394871,"Modesto, CA",102
2010-09,13.866293773,394997,"Portland, ME",103
2010-09,16.083844736,394549,"Durham, NC",104
2010-09,18.596638318,395068,"Santa Rosa, CA",105
2010-09,15.494807366,394792,"Lexington, KY",106
2010-09,17.351840788,394770,"Lansing, MI",108
2010-09,12.401226088,394590,"Fayetteville, AR",109
2010-09,17.545763496,394971,"Pensacola, FL",110
2010-09,20.095287933,395195,"Visalia, CA",111
2010-09,11.345818915,395116,"Springfield, MO",113
2010-09,15.857730671,395244,"York, PA",114
2010-09,14.085609653,394596,"Flint, MI",116
2010-09,19.006968992,395019,"Reno, NV",117
2010-09,10.240516985,394338,"Asheville, NC",118
2010-09,12.925533738,394995,"Port St. Lucie, FL",119
2010-09,14.047991701,394612,"Fort Wayne, IN",122
2010-09,10.858093266,395015,"Reading, PA",126
2010-09,15.613438597,394820,"Manchester, NH",131
2010-09,18.673773497,395048,"Salem, OR",132
2010-09,16.869392799,394327,"Anchorage, AK",133
2010-09,15.822874076,394972,"Peoria, IL",135
