Date,ValuePerSqft,RegionID,RegionName,SizeRank
1996-04,103,9,California,1
1996-04,53,54,Texas,2
1996-04,72,43,New York,3
1996-04,55,14,Florida,4
1996-04,86,21,Illinois,5
1996-04,57,47,Pennsylvania,6
1996-04,59,44,Ohio,7
1996-04,67,30,Michigan,8
1996-04,51,16,Georgia,9
1996-04,57,36,North Carolina,10
1996-04,86,40,New Jersey,11
1996-04,65,56,Virginia,12
1996-04,87,59,Washington,13
1996-04,89,26,Massachusetts,14
1996-04,61,22,Indiana,15
1996-04,61,8,Arizona,16
1996-04,45,53,Tennessee,17
1996-04,60,32,Missouri,18
1996-04,85,27,Maryland,19
1996-04,72,60,Wisconsin,20
1996-04,69,31,Minnesota,21
1996-04,86,10,Colorado,22
1996-04,44,4,Alabama,23
1996-04,47,51,South Carolina,24
1996-04,45,25,Louisiana,25
1996-04,50,24,Kentucky,26
1996-04,79,46,Oregon,27
1996-04,41,45,Oklahoma,28
1996-04,85,11,Connecticut,29
1996-04,47,19,Iowa,30
1996-04,43,34,Mississippi,31
1996-04,39,6,Arkansas,32
1996-04,46,23,Kansas,33
1996-04,100,55,Utah,34
1996-04,76,42,Nevada,35
1996-04,79,41,New Mexico,36
1996-04,33,61,West Virginia,37
1996-04,55,38,Nebraska,38
1996-04,60,20,Idaho,39
1996-04,181,18,Hawaii,40
1996-04,64,28,Maine,41
1996-04,62,39,New Hampshire,42
1996-04,82,50,Rhode Island,43
1996-04,107,35,Montana,44
1996-04,64,13,Delaware,45
1996-04,35,52,South Dakota,46
1996-04,71,3,Alaska,47
1996-04,,37,North Dakota,48
1996-04,101,12,District of Columbia,49
1996-04,102,62,Wyoming,50
1996-05,103,9,California,1
1996-05,53,54,Texas,2
1996-05,72,43,New York,3
1996-05,56,14,Florida,4
1996-05,87,21,Illinois,5
1996-05,57,47,Pennsylvania,6
1996-05,59,44,Ohio,7
1996-05,67,30,Michigan,8
1996-05,51,16,Georgia,9
1996-05,57,36,North Carolina,10
1996-05,86,40,New Jersey,11
1996-05,65,56,Virginia,12
1996-05,87,59,Washington,13
1996-05,89,26,Massachusetts,14
1996-05,61,22,Indiana,15
1996-05,61,8,Arizona,16
1996-05,46,53,Tennessee,17
