Date,ZHVI,RegionID,RegionName,SizeRank
1996-04,162300,9,California,1
1996-04,92800,54,Texas,2
1996-04,122500,43,New York,3
1996-04,84400,14,Florida,4
1996-04,115100,21,Illinois,5
1996-04,76900,47,Pennsylvania,6
1996-04,82800,44,Ohio,7
1996-04,75800,30,Michigan,8
1996-04,87000,16,Georgia,9
1996-04,88600,36,North Carolina,10
1996-04,143200,40,New Jersey,11
1996-04,106400,56,Virginia,12
1996-04,136000,59,Washington,13
1996-04,137800,26,Massachusetts,14
1996-04,93600,22,Indiana,15
1996-04,100500,8,Arizona,16
1996-04,69400,53,Tennessee,17
1996-04,82500,32,Missouri,18
1996-04,128700,27,Maryland,19
1996-04,109800,60,Wisconsin,20
1996-04,86700,31,Minnesota,21
1996-04,126800,10,Colorado,22
1996-04,76300,4,Alabama,23
1996-04,71800,51,South Carolina,24
1996-04,67100,25,Louisiana,25
1996-04,70200,24,Kentucky,26
1996-04,123200,46,Oregon,27
1996-04,60200,45,Oklahoma,28
1996-04,130600,11,Connecticut,29
1996-04,62100,19,Iowa,30
1996-04,70900,34,Mississippi,31
1996-04,61400,6,Arkansas,32
1996-04,64200,23,Kansas,33
1996-04,147200,55,Utah,34
1996-04,129600,42,Nevada,35
1996-04,113300,41,New Mexico,36
1996-04,48800,61,West Virginia,37
1996-04,71600,38,Nebraska,38
1996-04,99900,20,Idaho,39
1996-04,216800,18,Hawaii,40
1996-04,86200,28,Maine,41
1996-04,99400,39,New Hampshire,42
1996-04,115800,50,Rhode Island,43
1996-04,134400,35,Montana,44
1996-04,105900,13,Delaware,45
1996-04,40600,52,South Dakota,46
1996-04,117800,3,Alaska,47
1996-04,,37,North Dakota,48
1996-04,89000,58,Vermont,49
1996-04,110600,12,District of Columbia,50
1996-04,127600,62,Wyoming,51
1996-05,162200,9,California,1
1996-05,92800,54,Texas,2
1996-05,122600,43,New York,3
1996-05,84500,14,Florida,4
1996-05,115700,21,Illinois,5
1996-05,76900,47,Pennsylvania,6
1996-05,83000,44,Ohio,7
1996-05,76600,30,Michigan,8
1996-05,87400,16,Georgia,9
1996-05,88500,36,North Carolina,10
1996-05,143100,40,New Jersey,11
1996-05,106500,56,Virginia,12
1996-05,136200,59,Washington,13
1996-05,138000,26,Massachusetts,14
1996-05,92200,22,Indiana,15
1996-05,100900,8,Arizona,16
1996-05,69900,53,Tennessee,17
1996-05,82600,32,Missouri,18
1996-05,128800,27,Maryland,19
1996-05,109500,60,Wisconsin,20
1996-05,87200,31,Minnesota,21
1996-05,126800,10,Colorado,22
1996-05,76800,4,Alabama,23
1996-05,72000,51,South Carolina,24
1996-05,67300,25,Louisiana,25
1996-05,70300,24,Kentucky,26
1996-05,123800,46,Oregon,27
1996-05,60700,45,Oklahoma,28
1996-05,131000,11,Connecticut,29
1996-05,62100,19,Iowa,30
1996-05,71000,34,Mississippi,31
1996-05,61400,6,Arkansas,32
1996-05,64400,23,Kansas,33
1996-05,147000,55,Utah,34
1996-05,129400,42,Nevada,35
1996-05,113300,41,New Mexico,36
1996-05,49000,61,West Virginia,37
1996-05,72500,38,Nebraska,38
1996-05,99800,20,Idaho,39
1996-05,216000,18,Hawaii,40
1996-05,85700,28,Maine,41
1996-05,99400,39,New Hampshire,42
1996-05,115700,50,Rhode Island,43
1996-05,134400,35,Montana,44
1996-05,106200,13,Delaware,45
1996-05,40700,52,South Dakota,46
1996-05,118500,3,Alaska,47
1996-05,,37,North Dakota,48
1996-05,88600,58,Vermont,49
1996-05,111000,12,District of Columbia,50
1996-05,127700,62,Wyoming,51
1996-06,162100,9,California,1
1996-06,93000,54,Texas,2
1996-06,122700,43,New York,3
