Date,ZHVI,RegionID,RegionName,SizeRank
1996-04,94300,9,California,1
1996-04,46500,54,Texas,2
1996-04,60600,43,New York,3
1996-04,42200,14,Florida,4
1996-04,60000,21,Illinois,5
1996-04,50600,47,Pennsylvania,6
1996-04,46900,44,Ohio,7
1996-04,59200,30,Michigan,8
1996-04,61500,16,Georgia,9
1996-04,47400,36,North Carolina,10
1996-04,88700,40,New Jersey,11
1996-04,76400,56,Virginia,12
1996-04,83500,59,Washington,13
1996-04,79100,26,Massachusetts,14
1996-04,61500,22,Indiana,15
1996-04,47100,8,Arizona,16
1996-04,52400,53,Tennessee,17
1996-04,54200,32,Missouri,18
1996-04,71700,60,Wisconsin,19
1996-04,52700,31,Minnesota,20
1996-04,68300,10,Colorado,21
1996-04,46200,4,Alabama,22
1996-04,71000,51,South Carolina,23
1996-04,,25,Louisiana,24
1996-04,44000,24,Kentucky,25
1996-04,78900,46,Oregon,26
1996-04,18200,45,Oklahoma,27
1996-04,56600,11,Connecticut,28
1996-04,35500,19,Iowa,29
1996-04,44000,34,Mississippi,30
1996-04,51900,6,Arkansas,31
1996-04,28800,23,Kansas,32
1996-04,98300,55,Utah,33
1996-04,65900,42,Nevada,34
1996-04,97300,41,New Mexico,35
1996-04,23000,61,West Virginia,36
1996-04,46700,38,Nebraska,37
1996-04,61200,20,Idaho,38
1996-04,155500,18,Hawaii,39
1996-04,56800,28,Maine,40
1996-04,55800,39,New Hampshire,41
1996-04,74600,50,Rhode Island,42
1996-04,121600,35,Montana,43
1996-04,40600,52,South Dakota,44
1996-04,68100,3,Alaska,45
1996-04,,37,North Dakota,46
1996-04,87900,12,District of Columbia,47
1996-04,118900,62,Wyoming,48
1996-05,94200,9,California,1
1996-05,46500,54,Texas,2
1996-05,60500,43,New York,3
1996-05,42300,14,Florida,4
1996-05,60200,21,Illinois,5
1996-05,50700,47,Pennsylvania,6
1996-05,47000,44,Ohio,7
1996-05,59600,30,Michigan,8
1996-05,61600,16,Georgia,9
1996-05,47500,36,North Carolina,10
1996-05,88600,40,New Jersey,11
1996-05,76300,56,Virginia,12
1996-05,83600,59,Washington,13
1996-05,79200,26,Massachusetts,14
1996-05,61000,22,Indiana,15
1996-05,47500,8,Arizona,16
1996-05,52800,53,Tennessee,17
1996-05,53900,32,Missouri,18
1996-05,72100,60,Wisconsin,19
1996-05,52700,31,Minnesota,20
1996-05,68800,10,Colorado,21
1996-05,46300,4,Alabama,22
1996-05,71100,51,South Carolina,23
1996-05,,25,Louisiana,24
1996-05,44100,24,Kentucky,25
1996-05,79300,46,Oregon,26
1996-05,18300,45,Oklahoma,27
1996-05,56600,11,Connecticut,28
1996-05,35600,19,Iowa,29
1996-05,44100,34,Mississippi,30
1996-05,51600,6,Arkansas,31
1996-05,28800,23,Kansas,32
1996-05,98000,55,Utah,33
1996-05,65900,42,Nevada,34
1996-05,97000,41,New Mexico,35
1996-05,23200,61,West Virginia,36
1996-05,47600,38,Nebraska,37
1996-05,61200,20,Idaho,38
1996-05,155000,18,Hawaii,39
1996-05,56300,28,Maine,40
1996-05,55100,39,New Hampshire,41
1996-05,74600,50,Rhode Island,42
1996-05,121700,35,Montana,43
1996-05,40800,52,South Dakota,44
1996-05,67900,3,Alaska,45
1996-05,,37,North Dakota,46
1996-05,88400,12,District of Columbia,47
1996-05,118900,62,Wyoming,48
1996-06,94000,9,California,1
1996-06,46500,54,Texas,2
1996-06,60500,43,New York,3
1996-06,42300,14,Florida,4
1996-06,60400,21,Illinois,5
1996-06,50700,47,Pennsylvania,6
1996-06,47000,44,Ohio,7
1996-06,60100,30,Michigan,8
1996-06,61800,16,Georgia,9
1996-06,47700,36,North Carolina,10
1996-06,88500,40,New Jersey,11
1996-06,76200,56,Virginia,12
1996-06,83800,59,Washington,13
1996-06,79300,26,Massachusetts,14
1996-06,60200,22,Indiana,15
1996-06,47800,8,Arizona,16
1996-06,53100,53,Tennessee,17
1996-06,53400,32,Missouri,18
1996-06,72500,60,Wisconsin,19
1996-06,52800,31,Minnesota,20
1996-06,69300,10,Colorado,21
1996-06,46300,4,Alabama,22
1996-06,71200,51,South Carolina,23
1996-06,,25,Louisiana,24
1996-06,44300,24,Kentucky,25
1996-06,79700,46,Oregon,26
1996-06,18300,45,Oklahoma,27
1996-06,56600,11,Connecticut,28
1996-06,35600,19,Iowa,29
1996-06,44100,34,Mississippi,30
1996-06,51400,6,Arkansas,31
1996-06,28700,23,Kansas,32
1996-06,97800,55,Utah,33
1996-06,66000,42,Nevada,34
1996-06,96700,41,New Mexico,35
1996-06,23300,61,West Virginia,36
1996-06,48400,38,Nebraska,37
1996-06,61200,20,Idaho,38
1996-06,154600,18,Hawaii,39
1996-06,55900,28,Maine,40
1996-06,54700,39,New Hampshire,41
1996-06,74600,50,Rhode Island,42
1996-06,121800,35,Montana,43
1996-06,41100,52,South Dakota,44
1996-06,67700,3,Alaska,45
1996-06,,37,North Dakota,46
1996-06,88900,12,District of Columbia,47
1996-06,118800,62,Wyoming,48
1996-07,93600,9,California,1
1996-07,46500,54,Texas,2
1996-07,60400,43,New York,3
1996-07,42300,14,Florida,4
1996-07,60500,21,Illinois,5
1996-07,50800,47,Pennsylvania,6
1996-07,47100,44,Ohio,7
1996-07,60500,30,Michigan,8
1996-07,61900,16,Georgia,9
1996-07,47900,36,North Carolina,10
1996-07,88300,40,New Jersey,11
1996-07,75900,56,Virginia,12
1996-07,83900,59,Washington,13
1996-07,79400,26,Massachusetts,14
1996-07,59200,22,Indiana,15
1996-07,48100,8,Arizona,16
1996-07,53300,53,Tennessee,17
1996-07,52900,32,Missouri,18
1996-07,72900,60,Wisconsin,19
1996-07,52900,31,Minnesota,20
1996-07,69800,10,Colorado,21
1996-07,46300,4,Alabama,22
1996-07,71500,51,South Carolina,23
1996-07,,25,Louisiana,24
1996-07,44500,24,Kentucky,25
1996-07,80200,46,Oregon,26
1996-07,18300,45,Oklahoma,27
1996-07,56500,11,Connecticut,28
1996-07,35600,19,Iowa,29
1996-07,44200,34,Mississippi,30
1996-07,51100,6,Arkansas,31
1996-07,28700,23,Kansas,32
1996-07,97500,55,Utah,33
1996-07,66100,42,Nevada,34
1996-07,96400,41,New Mexico,35
1996-07,23400,61,West Virginia,36
1996-07,49300,38,Nebraska,37
1996-07,61200,20,Idaho,38
1996-07,154200,18,Hawaii,39
1996-07,55400,28,Maine,40
1996-07,54400,39,New Hampshire,41
1996-07,74500,50,Rhode Island,42
1996-07,122100,35,Montana,43
1996-07,41200,52,South Dakota,44
1996-07,67600,3,Alaska,45
1996-07,,37,North Dakota,46
1996-07,89400,12,District of Columbia,47
1996-07,118600,62,Wyoming,48
1996-08,93300,9,California,1
1996-08,46500,54,Texas,2
1996-08,60300,43,New York,3
1996-08,42300,14,Florida,4
1996-08,60400,21,Illinois,5
1996-08,50800,47,Pennsylvania,6
1996-08,47200,44,Ohio,7
1996-08,60900,30,Michigan,8
1996-08,62200,16,Georgia,9
1996-08,48100,36,North Carolina,10
1996-08,88200,40,New Jersey,11
1996-08,75700,56,Virginia,12
1996-08,84200,59,Washington,13
1996-08,79600,26,Massachusetts,14
1996-08,58000,22,Indiana,15
1996-08,48400,8,Arizona,16
1996-08,53500,53,Tennessee,17
1996-08,52300,32,Missouri,18
1996-08,73300,60,Wisconsin,19
1996-08,53100,31,Minnesota,20
1996-08,70300,10,Colorado,21
1996-08,46300,4,Alabama,22
1996-08,71800,51,South Carolina,23
1996-08,,25,Louisiana,24
1996-08,44700,24,Kentucky,25
1996-08,80700,46,Oregon,26
1996-08,18300,45,Oklahoma,27
1996-08,56500,11,Connecticut,28
1996-08,35600,19,Iowa,29
1996-08,44200,34,Mississippi,30
1996-08,50800,6,Arkansas,31
1996-08,28700,23,Kansas,32
1996-08,97300,55,Utah,33
1996-08,66100,42,Nevada,34
1996-08,96300,41,New Mexico,35
1996-08,23600,61,West Virginia,36
1996-08,50000,38,Nebraska,37
1996-08,61300,20,Idaho,38
1996-08,153800,18,Hawaii,39
