date, value,date
2006-01,6.12,2006-01
2006-02,6.26,2006-02
2006-03,6.35,2006-03
2006-04,6.58,2006-04
2006-05,6.62,2006-05
2006-06,6.78,2006-06
2006-07,6.72,2006-07
2006-08,6.44,2006-08
2006-09,6.31,2006-09
2006-10,6.4,2006-10
2006-11,6.14,2006-11
2006-12,6.18,2006-12
2007-01,6.25,2007-01
2007-02,6.22,2007-02
2007-03,6.16,2007-03
2007-04,6.16,2007-04
2007-05,6.42,2007-05
2007-06,6.67,2007-06
2007-07,6.69,2007-07
2007-08,6.45,2007-08
2007-09,6.42,2007-09
2007-10,6.33,2007-10
2007-11,6.1,2007-11
2007-12,6.17,2007-12
2008-01,5.68,2008-01
2008-02,6.24,2008-02
2008-03,5.85,2008-03
2008-04,6.03,2008-04
2008-05,6.08,2008-05
2008-06,6.45,2008-06
2008-07,6.52,2008-07
2008-08,6.4,2008-08
2008-09,6.09,2008-09
2008-10,6.46,2008-10
2008-11,5.97,2008-11
2008-12,5.1,2008-12
2009-01,5.1,2009-01
2009-02,5.07,2009-02
2009-03,4.85,2009-03
2009-04,4.78,2009-04
2009-05,4.91,2009-05
2009-06,5.42,2009-06
2009-07,5.25,2009-07
2009-08,5.14,2009-08
2009-09,5.04,2009-09
2009-10,5.03,2009-10
2009-11,4.78,2009-11
2009-12,5.14,2009-12
2010-01,4.98,2010-01
2010-02,5.05,2010-02
2010-03,4.99,2010-03
2010-04,5.06,2010-04
2010-05,4.78,2010-05
2010-06,4.69,2010-06
2010-07,4.54,2010-07
2010-08,4.36,2010-08
2010-09,4.32,2010-09
2010-10,4.23,2010-10
2010-11,4.4,2010-11
2010-12,4.86,2010-12
2011-01,4.8,2011-01
2011-02,4.95,2011-02
2011-03,4.86,2011-03
2011-04,4.78,2011-04
2011-05,4.6,2011-05
2011-06,4.51,2011-06
2011-07,4.55,2011-07
2011-08,4.22,2011-08
2011-09,4.01,2011-09
2011-10,4.1,2011-10
2011-11,3.98,2011-11
2011-12,3.95,2011-12
2012-01,3.98,2012-01
2012-02,3.95,2012-02
2012-03,3.99,2012-03
2012-04,3.88,2012-04
2012-05,3.75,2012-05
2012-06,3.66,2012-06
2012-07,3.49,2012-07
2012-08,3.59,2012-08
2012-09,3.4,2012-09
2012-10,3.41,2012-10
2012-11,3.32,2012-11
2012-12,3.35,2012-12
2013-01,3.53,2013-01
2013-02,3.51,2013-02
2013-03,3.57,2013-03
2013-04,3.4,2013-04
2013-05,3.81,2013-05
2013-06,4.46,2013-06
2013-07,4.31,2013-07
2013-08,4.51,2013-08
2013-09,4.32,2013-09
2013-10,4.1,2013-10
2013-11,4.29,2013-11
2013-12,4.48,2013-12
2014-01,4.32,2014-01
2014-02,4.37,2014-02
2014-03,4.4,2014-03
2014-04,4.33,2014-04
2014-05,4.12,2014-05
2014-06,4.14,2014-06
2014-07,4.12,2014-07
2014-08,4.1,2014-08
2014-09,4.2,2014-09
2014-10,3.98,2014-10
2014-11,3.97,2014-11
2014-12,3.87,2014-12
2015-01,3.66,2015-01
2015-02,3.8,2015-02
2015-03,3.69,2015-03
2015-04,3.68,2015-04
2015-05,3.87,2015-05
2015-06,4.02,2015-06
2015-07,3.98,2015-07
2015-08,3.84,2015-08
2015-09,3.86,2015-09
2015-10,3.76,2015-10
2015-11,3.95,2015-11
2015-12,4.01,2015-12
2016-01,3.79,2016-01
2016-02,3.62,2016-02
2016-03,3.71,2016-03
2016-04,3.66,2016-04
2016-05,3.64,2016-05
2016-06,3.48,2016-06
2016-07,3.48,2016-07
2016-08,3.43,2016-08
2016-09,3.42,2016-09
2016-10,3.47,2016-10
2016-11,4.03,2016-11
2016-12,4.32,2016-12
2017-01,4.19,2017-01
2017-02,4.16,2017-02
2017-03,4.14,2017-03
2017-04,4.03,2017-04
2017-05,3.95,2017-05
2017-06,3.88,2017-06
2017-07,3.92,2017-07
2017-08,3.82,2017-08
2017-09,3.83,2017-09
2017-10,3.94,2017-10
2017-11,3.9,2017-11
2017-12,3.99,2017-12
2018-01,4.15,2018-01
2018-02,4.4,2018-02
2018-03,4.44,2018-03
2018-04,4.58,2018-04
2018-05,4.56,2018-05
2018-06,4.55,2018-06
2018-07,4.54,2018-07
2018-08,4.52,2018-08
2018-09,4.72,2018-09
2018-10,4.86,2018-10
2018-11,4.81,2018-11
2018-12,4.55,2018-12
2019-01,4.46,2019-01
2019-02,4.35,2019-02
2019-03,4.06,2019-03
2019-04,4.2,2019-04
2019-05,3.99,2019-05
2019-06,3.73,2019-06
2019-07,3.75,2019-07
2019-08,3.58,2019-08
