Pivot1 Names,RegionName,SizeRank,RegionID,Pivot1 Values
2008-03,California,1,9,25114
2008-03,Texas,2,54,27621
2008-03,New York,3,43,
2008-03,Florida,4,14,17991
2008-03,Illinois,5,21,14976
2008-03,Pennsylvania,6,47,12768
2008-03,Ohio,7,44,13503
2008-03,Michigan,8,30,12802
2008-03,Georgia,9,16,13601
2008-03,North Carolina,10,36,10808
2008-03,New Jersey,11,40,7396
2008-03,Virginia,12,56,7598
2008-03,Washington,13,59,7164
2008-03,Massachusetts,14,26,6402
2008-03,Indiana,15,22,7683
2008-03,Arizona,16,8,6789
2008-03,Tennessee,17,53,10129
2008-03,Missouri,18,32,6080
2008-03,Maryland,19,27,6381
2008-03,Wisconsin,20,60,5853
2008-03,Minnesota,21,31,5277
2008-03,Colorado,22,10,8571
2008-03,Alabama,23,4,3584
2008-03,South Carolina,24,51,6578
2008-03,Louisiana,25,25,3546
2008-03,Kentucky,26,24,3654
2008-03,Oregon,27,46,4009
2008-03,Oklahoma,28,45,3289
2008-03,Connecticut,29,11,2906
2008-03,Iowa,30,19,3042
2008-03,Mississippi,31,34,1283
2008-03,Arkansas,32,6,2843
2008-03,Kansas,33,23,2278
2008-03,Utah,34,55,3709
2008-03,Nevada,35,42,3033
2008-03,New Mexico,36,41,1563
2008-03,West Virginia,37,61,967
2008-03,Nebraska,38,38,1314
2008-03,Idaho,39,20,1629
2008-03,Hawaii,40,18,1153
2008-03,Maine,41,28,
2008-03,New Hampshire,42,39,
2008-03,Rhode Island,43,50,
2008-03,Montana,44,35,826
2008-03,Delaware,45,13,694
2008-03,South Dakota,46,52,
2008-03,Alaska,47,3,733
2008-03,North Dakota,48,37,622
2008-03,Vermont,49,58,424
2008-03,District of Columbia,50,12,477
2008-03,Wyoming,51,62,402
2008-04,California,1,9,25553
2008-04,Texas,2,54,26417
2008-04,New York,3,43,
2008-04,Florida,4,14,17456
2008-04,Illinois,5,21,14454
2008-04,Pennsylvania,6,47,12459
2008-04,Ohio,7,44,13010
2008-04,Michigan,8,30,13051
2008-04,Georgia,9,16,13284
2008-04,North Carolina,10,36,10382
2008-04,New Jersey,11,40,7399
2008-04,Virginia,12,56,7396
2008-04,Washington,13,59,6797
2008-04,Massachusetts,14,26,6499
2008-04,Indiana,15,22,6954
2008-04,Arizona,16,8,6793
2008-04,Tennessee,17,53,9453
2008-04,Missouri,18,32,6010
2008-04,Maryland,19,27,6294
2008-04,Wisconsin,20,60,5477
2008-04,Minnesota,21,31,5232
2008-04,Colorado,22,10,7911
2008-04,Alabama,23,4,3392
2008-04,South Carolina,24,51,6393
2008-04,Louisiana,25,25,3266
2008-04,Kentucky,26,24,3461
2008-04,Oregon,27,46,3838
2008-04,Oklahoma,28,45,3318
2008-04,Connecticut,29,11,2819
2008-04,Iowa,30,19,2933
2008-04,Mississippi,31,34,1248
2008-04,Arkansas,32,6,2780
2008-04,Kansas,33,23,2213
2008-04,Utah,34,55,3537
2008-04,Nevada,35,42,3080
2008-04,New Mexico,36,41,1551
2008-04,West Virginia,37,61,988
2008-04,Nebraska,38,38,1306
2008-04,Idaho,39,20,1465
2008-04,Hawaii,40,18,1167
2008-04,Maine,41,28,
2008-04,New Hampshire,42,39,
2008-04,Rhode Island,43,50,
2008-04,Montana,44,35,787
2008-04,Delaware,45,13,696
2008-04,South Dakota,46,52,
2008-04,Alaska,47,3,702
2008-04,North Dakota,48,37,616
2008-04,Vermont,49,58,406
2008-04,District of Columbia,50,12,425
2008-04,Wyoming,51,62,406
2008-05,California,1,9,25874
2008-05,Texas,2,54,24732
2008-05,New York,3,43,
2008-05,Florida,4,14,17170
2008-05,Illinois,5,21,13072
2008-05,Pennsylvania,6,47,11413
2008-05,Ohio,7,44,11913
2008-05,Michigan,8,30,12178
2008-05,Georgia,9,16,12429
2008-05,North Carolina,10,36,9547
2008-05,New Jersey,11,40,7330
2008-05,Virginia,12,56,6776
2008-05,Washington,13,59,6008
2008-05,Massachusetts,14,26,5370
2008-05,Indiana,15,22,5851
2008-05,Arizona,16,8,7004
2008-05,Tennessee,17,53,8533
2008-05,Missouri,18,32,5690
2008-05,Maryland,19,27,5719
2008-05,Wisconsin,20,60,4853
2008-05,Minnesota,21,31,4584
2008-05,Colorado,22,10,7270
2008-05,Alabama,23,4,3246
2008-05,South Carolina,24,51,5939
2008-05,Louisiana,25,25,3173
2008-05,Kentucky,26,24,3108
2008-05,Oregon,27,46,3483
2008-05,Oklahoma,28,45,3174
2008-05,Connecticut,29,11,2616
2008-05,Iowa,30,19,2604
2008-05,Mississippi,31,34,1170
2008-05,Arkansas,32,6,2572
2008-05,Kansas,33,23,1971
2008-05,Utah,34,55,3227
2008-05,Nevada,35,42,3189
2008-05,New Mexico,36,41,1445
2008-05,West Virginia,37,61,967
2008-05,Nebraska,38,38,1171
2008-05,Idaho,39,20,1286
2008-05,Hawaii,40,18,1119
2008-05,Maine,41,28,
2008-05,New Hampshire,42,39,
2008-05,Rhode Island,43,50,
2008-05,Montana,44,35,680
2008-05,Delaware,45,13,693
2008-05,South Dakota,46,52,
2008-05,Alaska,47,3,640
2008-05,North Dakota,48,37,544
2008-05,Vermont,49,58,335
2008-05,District of Columbia,50,12,390
2008-05,Wyoming,51,62,368
