Pivot1 Names,RegionName,SizeRank,Pivot1 Values
2010-02,United States,0,
2010-02,"New York, NY",1,
2010-02,"Los Angeles-Long Beach-Anaheim, CA",2,
2010-02,"Chicago, IL",3,
2010-02,"Dallas-Fort Worth, TX",4,
2010-02,"Philadelphia, PA",5,
2010-02,"Houston, TX",6,
2010-02,"Washington, DC",7,
2010-02,"Miami-Fort Lauderdale, FL",8,1300
2010-02,"Atlanta, GA",9,999
2010-02,"Boston, MA",10,
2010-02,"San Francisco, CA",11,
2010-02,"Detroit, MI",12,
2010-02,"Riverside, CA",13,
2010-02,"Phoenix, AZ",14,
2010-02,"Seattle, WA",15,
2010-02,"Minneapolis-St Paul, MN",16,
2010-02,"San Diego, CA",17,
2010-02,"St. Louis, MO",18,
2010-02,"Tampa, FL",19,575
2010-02,"Baltimore, MD",20,
2010-02,"Denver, CO",21,
2010-02,"Pittsburgh, PA",22,
2010-02,"Portland, OR",23,
2010-02,"Charlotte, NC",24,
2010-02,"Sacramento, CA",25,
2010-02,"San Antonio, TX",26,
2010-02,"Orlando, FL",27,
2010-02,"Cincinnati, OH",28,
2010-02,"Cleveland, OH",29,
2010-02,"Kansas City, MO",30,
2010-02,"Las Vegas, NV",31,
2010-02,"Columbus, OH",32,
2010-02,"Indianapolis, IN",33,
2010-02,"San Jose, CA",34,
2010-02,"Austin, TX",35,
2010-02,"Virginia Beach, VA",36,
2010-02,"Nashville, TN",37,
2010-02,"Providence, RI",38,
2010-02,"Jacksonville, FL",39,
2010-02,"Memphis, TN",40,
2010-02,"Oklahoma City, OK",41,
2010-02,"Louisville-Jefferson County, KY",42,
2010-02,"Hartford, CT",43,
2010-02,"Richmond, VA",44,
2010-02,"Buffalo, NY",45,
2010-02,"Raleigh, NC",46,
2010-02,"Salt Lake City, UT",47,
2010-02,"Rochester, NY",48,
2010-02,"Grand Rapids, MI",49,
2010-02,"Tucson, AZ",50,
2010-02,"Urban Honolulu, HI",51,
2010-02,"Tulsa, OK",52,
2010-02,"Fresno, CA",53,
2010-02,"Worcester, MA",54,
2010-02,"Stamford, CT",55,
2010-02,"Albuquerque, NM",56,
2010-02,"Albany, NY",57,
2010-02,"Omaha, NE",58,
2010-02,"New Haven, CT",59,
2010-02,"Bakersfield, CA",60,
2010-02,"Greenville, SC",61,
2010-02,"Ventura, CA",62,
2010-02,"Allentown, PA",63,
2010-02,"El Paso, TX",64,
2010-02,"Baton Rouge, LA",65,
2010-02,"McAllen, TX",66,
2010-02,"Columbia, SC",67,
2010-02,"Greensboro, NC",68,
2010-02,"Akron, OH",69,
2010-02,"North Port-Sarasota-Bradenton, FL",70,
2010-02,"Little Rock, AR",71,
2010-02,"Stockton, CA",72,
2010-02,"Charleston, SC",73,
2010-02,"Syracuse, NY",74,
2010-02,"Colorado Springs, CO",75,
2010-02,"Wichita, KS",76,
2010-02,"Springfield, MA",77,
2010-02,"Boise City, ID",78,
2010-02,"Madison, WI",79,
2010-02,"Ogden, UT",80,
2010-02,"Daytona Beach, FL",81,
2010-02,"Des Moines, IA",82,
2010-02,"Jackson, MS",83,
2010-02,"Youngstown, OH",84,
2010-02,"Scranton, PA",85,
2010-02,"Harrisburg, PA",86,
2010-02,"Spokane, WA",87,
2010-02,"Provo, UT",88,
2010-02,"Lancaster, PA",89,
2010-02,"Modesto, CA",90,
2010-02,"Portland, ME",91,
2010-02,"Durham, NC",92,
2010-02,"Santa Rosa, CA",93,
2010-02,"Lexington, KY",94,
2010-02,"Lansing, MI",95,
2010-02,"Fayetteville, AR",96,
2010-02,"Visalia, CA",97,
2010-02,"Shreveport, LA",98,
2010-02,"Springfield, MO",99,
2010-02,"York, PA",100,
2010-02,"Corpus Christi, TX",101,
2010-02,"Flint, MI",102,
2010-02,"Reno, NV",103,
2010-02,"Asheville, NC",104,
2010-02,"Port St. Lucie, FL",105,
2010-02,"Santa Maria-Santa Barbara, CA",106,
2010-02,"Fort Wayne, IN",107,
2010-02,"Salinas, CA",108,
2010-02,"Vallejo, CA",109,
2010-02,"Reading, PA",110,
2010-02,"Brownsville, TX",111,
2010-02,"Killeen, TX",112,
2010-02,"Beaumont, TX",113,
2010-02,"Manchester, NH",114,
2010-02,"Salem, OR",115,
2010-02,"Anchorage, AK",116,
2010-02,"Davenport, IL",117,
2010-02,"Peoria, IL",118,
2010-02,"Myrtle Beach, SC",119,
2010-02,"Montgomery, AL",120,
2010-02,"Gulfport, MS",121,
2010-02,"Trenton, NJ",122,
2010-02,"Fayetteville, NC",123,
2010-02,"Huntington, WV",124,
2010-02,"Rockford, IL",125,
2010-02,"Savannah, GA",126,
2010-02,"Ann Arbor, MI",127,
2010-02,"Kalamazoo, MI",128,
2010-02,"Naples, FL",129,
2010-02,"Spartanburg, SC",130,
2010-02,"Evansville, IN",131,
2010-02,"Roanoke, VA",132,
2010-02,"Green Bay, WI",133,
2010-02,"Lincoln, NE",134,
2010-02,"Fort Collins, CO",135,
2010-02,"Utica, NY",136,
2010-02,"Boulder, CO",137,
2010-02,"Lubbock, TX",138,
2010-02,"Erie, PA",139,
2010-02,"Fort Smith, AR",140,
2010-02,"Duluth, MN",141,
2010-02,"Atlantic City, NJ",142,
2010-02,"New London, CT",143,
2010-02,"San Luis Obispo, CA",144,
2010-02,"Gainesville, FL",145,
2010-02,"Santa Cruz, CA",146,
2010-02,"Cedar Rapids, IA",147,
2010-02,"Wilmington, NC",148,
2010-02,"Waco, TX",149,
2010-02,"Olympia, WA",150,
2010-02,"Amarillo, TX",151,
2010-02,"Binghamton, NY",152,
2010-02,"Hagerstown, WV",153,
2010-02,"Bremerton, WA",154,
2010-02,"Laredo, TX",155,
2010-02,"Lynchburg, VA",156,
2010-02,"Yakima, WA",157,
2010-02,"Crestview-Fort Walton Beach-Destin, FL",158,
2010-02,"Topeka, KS",159,
2010-02,"Macon-Bibb County, GA",160,
2010-02,"Champaign-Urbana, IL",161,
2010-02,"Tuscaloosa, AL",162,
2010-02,"College Station, TX",163,
2010-02,"Sioux Falls, SD",164,
2010-02,"Charleston, WV",165,
2010-02,"Charlottesville, VA",166,
2010-02,"Longview, TX",167,
2010-02,"Burlington, VT",168,
2010-02,"Springfield, IL",169,
2010-02,"Fargo, ND",170,
2010-02,"Lafayette-West Lafayette, IN",171,
2010-02,"Bellingham, WA",172,
2010-02,"Lake Charles, LA",173,
2010-02,"Johnson City, TN",174,
2010-02,"Yuma, AZ",175,
2010-02,"Torrington, CT",176,
2010-02,"St. Cloud, MN",177,
2010-02,"Hilton Head Island, SC",178,
2010-02,"Kingston, NY",179,
2010-02,"Daphne, AL",180,
2010-02,"Gainesville, GA",181,
2010-02,"Terre Haute, IN",182,
2010-02,"East Stroudsburg, PA",183,
2010-02,"Waterloo, IA",184,
2010-02,"Oshkosh, WI",185,
2010-02,"Abilene, TX",186,
2010-02,"Columbia, MO",187,
2010-02,"Dover, DE",188,
2010-02,"Janesville, WI",189,
2010-02,"Bloomington, IN",190,
2010-02,"Pueblo, CO",191,
2010-02,"Billings, MT",192,
2010-02,"Bend, OR",193,
2010-02,"Bangor, ME",194,
2010-02,"Iowa City, IA",195,
2010-02,"Wichita Falls, TX",196,
2010-02,"Grand Junction, CO",197,
2010-02,"Concord, NH",198,
2010-02,"Santa Fe, NM",199,
2010-02,"Vero Beach, FL",200,
2010-02,"Napa, CA",201,
2010-02,"Lawton, OK",202,
2010-02,"Morgantown, WV",203,
2010-02,"Carbondale, IL",204,
2010-02,"Augusta, ME",205,
2010-02,"Muncie, IN",206,
2010-02,"Bismarck, ND",207,
2010-02,"Lawrence, KS",208,
2010-02,"Missoula, MT",209,
2010-02,"California-Lexington Park, MD",210,
2010-02,"Grand Forks, ND",211,
2010-02,"Fairbanks, AK",212,
2010-02,"Cape Girardeau, MO",213,
2010-02,"Manhattan, KS",214,
2010-02,"Cheyenne, WY",215,
2010-02,"Ames, IA",216,
2010-02,"Corvallis, OR",217,
2010-02,"Great Falls, MT",218,
2010-02,"Key West, FL",219,
2010-02,"Minot, ND",220,
2010-02,"Fort Leonard Wood, MO",221,
2010-02,"Rolla, MO",222,
2010-02,"Macomb, IL",223,
2010-02,"Williston, ND",224,
2010-03,United States,0,1200
2010-03,"New York, NY",1,
2010-03,"Los Angeles-Long Beach-Anaheim, CA",2,1375
2010-03,"Chicago, IL",3,1050
2010-03,"Dallas-Fort Worth, TX",4,
2010-03,"Philadelphia, PA",5,
2010-03,"Houston, TX",6,
2010-03,"Washington, DC",7,1300
2010-03,"Miami-Fort Lauderdale, FL",8,1300
2010-03,"Atlanta, GA",9,975
2010-03,"Boston, MA",10,
2010-03,"San Francisco, CA",11,
2010-03,"Detroit, MI",12,
2010-03,"Riverside, CA",13,
2010-03,"Phoenix, AZ",14,
2010-03,"Seattle, WA",15,
2010-03,"Minneapolis-St Paul, MN",16,
2010-03,"San Diego, CA",17,
2010-03,"St. Louis, MO",18,
2010-03,"Tampa, FL",19,579.5
2010-03,"Baltimore, MD",20,
2010-03,"Denver, CO",21,
2010-03,"Pittsburgh, PA",22,
2010-03,"Portland, OR",23,
2010-03,"Charlotte, NC",24,
2010-03,"Sacramento, CA",25,
2010-03,"San Antonio, TX",26,
2010-03,"Orlando, FL",27,
2010-03,"Cincinnati, OH",28,
2010-03,"Cleveland, OH",29,
2010-03,"Kansas City, MO",30,
2010-03,"Las Vegas, NV",31,
2010-03,"Columbus, OH",32,
2010-03,"Indianapolis, IN",33,
2010-03,"San Jose, CA",34,
2010-03,"Austin, TX",35,
2010-03,"Virginia Beach, VA",36,
2010-03,"Nashville, TN",37,
2010-03,"Providence, RI",38,
2010-03,"Jacksonville, FL",39,
2010-03,"Memphis, TN",40,
2010-03,"Oklahoma City, OK",41,
2010-03,"Louisville-Jefferson County, KY",42,
2010-03,"Hartford, CT",43,
2010-03,"Richmond, VA",44,
2010-03,"Buffalo, NY",45,
2010-03,"Raleigh, NC",46,
2010-03,"Salt Lake City, UT",47,
2010-03,"Rochester, NY",48,
2010-03,"Grand Rapids, MI",49,
2010-03,"Tucson, AZ",50,
2010-03,"Urban Honolulu, HI",51,
2010-03,"Tulsa, OK",52,
2010-03,"Fresno, CA",53,
2010-03,"Worcester, MA",54,
2010-03,"Stamford, CT",55,
2010-03,"Albuquerque, NM",56,
2010-03,"Albany, NY",57,
2010-03,"Omaha, NE",58,
2010-03,"New Haven, CT",59,
2010-03,"Bakersfield, CA",60,
2010-03,"Greenville, SC",61,
2010-03,"Ventura, CA",62,
2010-03,"Allentown, PA",63,
2010-03,"El Paso, TX",64,
2010-03,"Baton Rouge, LA",65,
2010-03,"McAllen, TX",66,
2010-03,"Columbia, SC",67,
2010-03,"Greensboro, NC",68,
2010-03,"Akron, OH",69,
2010-03,"North Port-Sarasota-Bradenton, FL",70,
2010-03,"Little Rock, AR",71,
2010-03,"Stockton, CA",72,
2010-03,"Charleston, SC",73,
2010-03,"Syracuse, NY",74,
2010-03,"Colorado Springs, CO",75,
2010-03,"Wichita, KS",76,
2010-03,"Springfield, MA",77,
2010-03,"Boise City, ID",78,
2010-03,"Madison, WI",79,
2010-03,"Ogden, UT",80,
2010-03,"Daytona Beach, FL",81,
2010-03,"Des Moines, IA",82,
2010-03,"Jackson, MS",83,
2010-03,"Youngstown, OH",84,
2010-03,"Scranton, PA",85,
2010-03,"Harrisburg, PA",86,
2010-03,"Spokane, WA",87,
2010-03,"Provo, UT",88,
2010-03,"Lancaster, PA",89,
2010-03,"Modesto, CA",90,
2010-03,"Portland, ME",91,
2010-03,"Durham, NC",92,
2010-03,"Santa Rosa, CA",93,
2010-03,"Lexington, KY",94,
2010-03,"Lansing, MI",95,
2010-03,"Fayetteville, AR",96,
2010-03,"Visalia, CA",97,
2010-03,"Shreveport, LA",98,
2010-03,"Springfield, MO",99,
2010-03,"York, PA",100,
2010-03,"Corpus Christi, TX",101,
2010-03,"Flint, MI",102,
2010-03,"Reno, NV",103,
2010-03,"Asheville, NC",104,
2010-03,"Port St. Lucie, FL",105,
2010-03,"Santa Maria-Santa Barbara, CA",106,
2010-03,"Fort Wayne, IN",107,
2010-03,"Salinas, CA",108,
2010-03,"Vallejo, CA",109,
2010-03,"Reading, PA",110,
2010-03,"Brownsville, TX",111,
2010-03,"Killeen, TX",112,
2010-03,"Beaumont, TX",113,
2010-03,"Manchester, NH",114,
2010-03,"Salem, OR",115,
2010-03,"Anchorage, AK",116,
2010-03,"Davenport, IL",117,
2010-03,"Peoria, IL",118,
2010-03,"Myrtle Beach, SC",119,
2010-03,"Montgomery, AL",120,
2010-03,"Gulfport, MS",121,
2010-03,"Trenton, NJ",122,
2010-03,"Fayetteville, NC",123,
2010-03,"Huntington, WV",124,
2010-03,"Rockford, IL",125,
2010-03,"Savannah, GA",126,
2010-03,"Ann Arbor, MI",127,
2010-03,"Kalamazoo, MI",128,
2010-03,"Naples, FL",129,
2010-03,"Spartanburg, SC",130,
2010-03,"Evansville, IN",131,
2010-03,"Roanoke, VA",132,
2010-03,"Green Bay, WI",133,
2010-03,"Lincoln, NE",134,
2010-03,"Fort Collins, CO",135,
2010-03,"Utica, NY",136,
2010-03,"Boulder, CO",137,
2010-03,"Lubbock, TX",138,
2010-03,"Erie, PA",139,
2010-03,"Fort Smith, AR",140,
2010-03,"Duluth, MN",141,
2010-03,"Atlantic City, NJ",142,
2010-03,"New London, CT",143,
2010-03,"San Luis Obispo, CA",144,
2010-03,"Gainesville, FL",145,
2010-03,"Santa Cruz, CA",146,
2010-03,"Cedar Rapids, IA",147,
2010-03,"Wilmington, NC",148,
2010-03,"Waco, TX",149,
2010-03,"Olympia, WA",150,
2010-03,"Amarillo, TX",151,
2010-03,"Binghamton, NY",152,
2010-03,"Hagerstown, WV",153,
2010-03,"Bremerton, WA",154,
2010-03,"Laredo, TX",155,
2010-03,"Lynchburg, VA",156,
2010-03,"Yakima, WA",157,
2010-03,"Crestview-Fort Walton Beach-Destin, FL",158,
2010-03,"Topeka, KS",159,
