Pivot1 Names,RegionName,SizeRank,Pivot1 Values
2010-02,United States,0,
2010-02,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-02,"Dallas-Fort Worth, TX",2,
2010-02,"Houston, TX",3,
2010-02,"Washington, DC",4,
2010-02,"Miami-Fort Lauderdale, FL",5,
2010-02,"Atlanta, GA",6,
2010-02,"Boston, MA",7,
2010-02,"San Francisco, CA",8,
2010-02,"Riverside, CA",9,
2010-02,"Seattle, WA",10,
2010-02,"Minneapolis-St Paul, MN",11,
2010-02,"San Diego, CA",12,
2010-02,"Tampa, FL",13,
2010-02,"Denver, CO",14,
2010-02,"Pittsburgh, PA",15,
2010-02,"Portland, OR",16,
2010-02,"Charlotte, NC",17,
2010-02,"Sacramento, CA",18,
2010-02,"San Antonio, TX",19,
2010-02,"Orlando, FL",20,
2010-02,"Cleveland, OH",21,
2010-02,"Kansas City, MO",22,
2010-02,"Las Vegas, NV",23,
2010-02,"San Jose, CA",24,
2010-02,"Austin, TX",25,
2010-02,"Virginia Beach, VA",26,
2010-02,"Nashville, TN",27,
2010-02,"Providence, RI",28,
2010-02,"Milwaukee, WI",29,
2010-02,"Jacksonville, FL",30,
2010-02,"Memphis, TN",31,
2010-02,"Oklahoma City, OK",32,
2010-02,"Hartford, CT",33,
2010-02,"Richmond, VA",34,
2010-02,"Buffalo, NY",35,
2010-02,"Salt Lake City, UT",36,
2010-02,"Rochester, NY",37,
2010-02,"Urban Honolulu, HI",38,
2010-02,"Worcester, MA",39,
2010-02,"Albany, NY",40,
2010-02,"New Haven, CT",41,975
2010-02,"Ventura, CA",42,
2010-02,"Allentown, PA",43,
2010-02,"Columbia, SC",44,
2010-02,"Stockton, CA",45,
2010-02,"Colorado Springs, CO",46,
2010-02,"Wichita, KS",47,
2010-02,"Ogden, UT",48,
2010-02,"Augusta, GA",49,
2010-02,"Spokane, WA",50,
2010-02,"Anchorage, AK",51,
2010-02,"Glenwood Springs, CO",52,
2010-03,United States,0,
2010-03,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-03,"Dallas-Fort Worth, TX",2,
2010-03,"Houston, TX",3,
2010-03,"Washington, DC",4,
2010-03,"Miami-Fort Lauderdale, FL",5,
2010-03,"Atlanta, GA",6,
2010-03,"Boston, MA",7,
2010-03,"San Francisco, CA",8,
2010-03,"Riverside, CA",9,2447.5
2010-03,"Seattle, WA",10,
2010-03,"Minneapolis-St Paul, MN",11,
2010-03,"San Diego, CA",12,
2010-03,"Tampa, FL",13,
2010-03,"Denver, CO",14,
2010-03,"Pittsburgh, PA",15,
2010-03,"Portland, OR",16,
2010-03,"Charlotte, NC",17,2350
2010-03,"Sacramento, CA",18,
2010-03,"San Antonio, TX",19,
2010-03,"Orlando, FL",20,
2010-03,"Cleveland, OH",21,
2010-03,"Kansas City, MO",22,
2010-03,"Las Vegas, NV",23,
2010-03,"San Jose, CA",24,
2010-03,"Austin, TX",25,
2010-03,"Virginia Beach, VA",26,
2010-03,"Nashville, TN",27,
2010-03,"Providence, RI",28,
2010-03,"Milwaukee, WI",29,
2010-03,"Jacksonville, FL",30,
2010-03,"Memphis, TN",31,
2010-03,"Oklahoma City, OK",32,
2010-03,"Hartford, CT",33,
2010-03,"Richmond, VA",34,
2010-03,"Buffalo, NY",35,
2010-03,"Salt Lake City, UT",36,
2010-03,"Rochester, NY",37,
2010-03,"Urban Honolulu, HI",38,
2010-03,"Worcester, MA",39,
2010-03,"Albany, NY",40,
2010-03,"New Haven, CT",41,895
2010-03,"Ventura, CA",42,
2010-03,"Allentown, PA",43,
2010-03,"Columbia, SC",44,
2010-03,"Stockton, CA",45,
2010-03,"Colorado Springs, CO",46,
2010-03,"Wichita, KS",47,
2010-03,"Ogden, UT",48,
2010-03,"Augusta, GA",49,
2010-03,"Spokane, WA",50,
2010-03,"Anchorage, AK",51,
2010-03,"Glenwood Springs, CO",52,
2010-04,United States,0,
2010-04,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-04,"Dallas-Fort Worth, TX",2,
2010-04,"Houston, TX",3,
2010-04,"Washington, DC",4,
2010-04,"Miami-Fort Lauderdale, FL",5,
2010-04,"Atlanta, GA",6,
2010-04,"Boston, MA",7,
2010-04,"San Francisco, CA",8,
2010-04,"Riverside, CA",9,2800
2010-04,"Seattle, WA",10,
2010-04,"Minneapolis-St Paul, MN",11,
2010-04,"San Diego, CA",12,
2010-04,"Tampa, FL",13,
2010-04,"Denver, CO",14,
2010-04,"Pittsburgh, PA",15,
2010-04,"Portland, OR",16,
2010-04,"Charlotte, NC",17,2500
2010-04,"Sacramento, CA",18,
2010-04,"San Antonio, TX",19,
2010-04,"Orlando, FL",20,
2010-04,"Cleveland, OH",21,
2010-04,"Kansas City, MO",22,
2010-04,"Las Vegas, NV",23,
2010-04,"San Jose, CA",24,
2010-04,"Austin, TX",25,
2010-04,"Virginia Beach, VA",26,
2010-04,"Nashville, TN",27,
2010-04,"Providence, RI",28,
2010-04,"Milwaukee, WI",29,
2010-04,"Jacksonville, FL",30,
2010-04,"Memphis, TN",31,
2010-04,"Oklahoma City, OK",32,
2010-04,"Hartford, CT",33,
2010-04,"Richmond, VA",34,
2010-04,"Buffalo, NY",35,
2010-04,"Salt Lake City, UT",36,
2010-04,"Rochester, NY",37,
2010-04,"Urban Honolulu, HI",38,
2010-04,"Worcester, MA",39,
2010-04,"Albany, NY",40,
2010-04,"New Haven, CT",41,950
2010-04,"Ventura, CA",42,
2010-04,"Allentown, PA",43,
2010-04,"Columbia, SC",44,
2010-04,"Stockton, CA",45,
2010-04,"Colorado Springs, CO",46,
2010-04,"Wichita, KS",47,
2010-04,"Ogden, UT",48,
2010-04,"Augusta, GA",49,
2010-04,"Spokane, WA",50,
2010-04,"Anchorage, AK",51,
2010-04,"Glenwood Springs, CO",52,
2010-05,United States,0,
2010-05,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-05,"Dallas-Fort Worth, TX",2,
2010-05,"Houston, TX",3,
2010-05,"Washington, DC",4,
2010-05,"Miami-Fort Lauderdale, FL",5,
2010-05,"Atlanta, GA",6,
2010-05,"Boston, MA",7,
2010-05,"San Francisco, CA",8,
2010-05,"Riverside, CA",9,2700
2010-05,"Seattle, WA",10,
2010-05,"Minneapolis-St Paul, MN",11,
2010-05,"San Diego, CA",12,
