Pivot1 Names,RegionName,SizeRank,RegionID,Pivot1 Values
1996-04,California,1,9,166000
1996-04,Texas,2,54,93700
1996-04,New York,3,43,120400
1996-04,Florida,4,14,87600
1996-04,Illinois,5,21,117300
1996-04,Pennsylvania,6,47,76300
1996-04,Ohio,7,44,82500
1996-04,Michigan,8,30,73800
1996-04,Georgia,9,16,88000
1996-04,North Carolina,10,36,89500
1996-04,New Jersey,11,40,148700
1996-04,Virginia,12,56,107900
1996-04,Washington,13,59,138400
1996-04,Massachusetts,14,26,144000
1996-04,Indiana,15,22,93300
1996-04,Arizona,16,8,104100
1996-04,Tennessee,17,53,68400
1996-04,Missouri,18,32,82300
1996-04,Maryland,19,27,132400
1996-04,Wisconsin,20,60,110100
1996-04,Minnesota,21,31,87300
1996-04,Colorado,22,10,130600
1996-04,Alabama,23,4,76200
1996-04,South Carolina,24,51,73100
1996-04,Louisiana,25,25,67000
1996-04,Kentucky,26,24,69700
1996-04,Oregon,27,46,123900
1996-04,Oklahoma,28,45,60600
1996-04,Connecticut,29,11,137200
1996-04,Iowa,30,19,61300
1996-04,Mississippi,31,34,70900
1996-04,Arkansas,32,6,61100
1996-04,Kansas,33,23,64300
1996-04,Utah,34,55,149600
1996-04,Nevada,35,42,134600
1996-04,New Mexico,36,41,113600
1996-04,West Virginia,37,61,48600
1996-04,Nebraska,38,38,71600
1996-04,Idaho,39,20,100400
1996-04,Hawaii,40,18,248400
1996-04,Maine,41,28,86800
1996-04,New Hampshire,42,39,104400
1996-04,Rhode Island,43,50,117700
1996-04,Montana,44,35,134400
1996-04,Delaware,45,13,106500
1996-04,South Dakota,46,52,40600
1996-04,Alaska,47,3,124700
1996-04,North Dakota,48,37,
1996-04,Vermont,49,58,88900
1996-04,District of Columbia,50,12,117600
1996-04,Wyoming,51,62,130600
1996-05,California,1,9,165900
1996-05,Texas,2,54,93700
1996-05,New York,3,43,120500
1996-05,Florida,4,14,87700
1996-05,Illinois,5,21,117800
1996-05,Pennsylvania,6,47,76300
1996-05,Ohio,7,44,82700
1996-05,Michigan,8,30,74500
1996-05,Georgia,9,16,88400
1996-05,North Carolina,10,36,89500
1996-05,New Jersey,11,40,148500
1996-05,Virginia,12,56,108100
1996-05,Washington,13,59,138600
1996-05,Massachusetts,14,26,144000
1996-05,Indiana,15,22,91800
1996-05,Arizona,16,8,104500
1996-05,Tennessee,17,53,68800
1996-05,Missouri,18,32,82400
1996-05,Maryland,19,27,132500
1996-05,Wisconsin,20,60,109800
1996-05,Minnesota,21,31,87800
1996-05,Colorado,22,10,130600
1996-05,Alabama,23,4,76700
1996-05,South Carolina,24,51,73400
1996-05,Louisiana,25,25,67200
1996-05,Kentucky,26,24,69800
1996-05,Oregon,27,46,124500
1996-05,Oklahoma,28,45,61200
1996-05,Connecticut,29,11,137500
1996-05,Iowa,30,19,61400
1996-05,Mississippi,31,34,70900
1996-05,Arkansas,32,6,61100
1996-05,Kansas,33,23,64500
1996-05,Utah,34,55,149400
1996-05,Nevada,35,42,134400
