SizeRank,Date,City,Value
3,1/1/06,Houston,130800
5,1/1/06,San Antonio,109900
10,1/1/06,Dallas,124700
11,1/1/06,Austin,202900
17,1/1/06,Dallas,125700
22,1/1/06,El Paso,101000
50,1/1/06,Dallas,131100
66,1/1/06,Corpus Christi,109400
79,1/1/06,Dallas,203000
109,1/1/06,Dallas,117700
110,1/1/06,Houston,142100
116,1/1/06,Dallas,136000
159,1/1/06,Dallas,132400
184,1/1/06,Houston,209600
189,1/1/06,Dallas,193100
205,1/1/06,Houston,175800
206,1/1/06,Austin,177700
214,1/1/06,Houston,146500
218,1/1/06,Houston,99400
221,1/1/06,Dallas,267200
229,1/1/06,Dallas,113600
257,1/1/06,Dallas,162000
267,1/1/06,Houston,178000
269,1/1/06,Dallas,142000
321,1/1/06,Dallas,158100
345,1/1/06,Dallas,169700
371,1/1/06,Houston,237000
395,1/1/06,Houston,177700
422,1/1/06,San Antonio,164500
433,1/1/06,Dallas,199200
481,1/1/06,Austin,198500
496,1/1/06,Austin,159600
585,1/1/06,Houston,155000
590,1/1/06,Houston,175400
595,1/1/06,Houston,167800
628,1/1/06,Houston,153800
644,1/1/06,Houston,98500
652,1/1/06,Austin,138200
664,1/1/06,Dallas,234200
711,1/1/06,Austin,187300
737,1/1/06,Dallas,142100
781,1/1/06,Dallas,178500
932,1/1/06,Dallas,139300
967,1/1/06,Dallas,148300
1042,1/1/06,Dallas,206500
1048,1/1/06,Dallas,144800
1051,1/1/06,Dallas,165300
1068,1/1/06,Dallas,139200
1075,1/1/06,Houston,149200
1080,1/1/06,Dallas,152000
1100,1/1/06,Dallas,157300
1137,1/1/06,Dallas,163300
1142,1/1/06,Dallas,158000
1150,1/1/06,Houston,159300
1155,1/1/06,San Antonio,117700
1201,1/1/06,Dallas,89100
1237,1/1/06,Houston,90500
1255,1/1/06,Dallas,268100
1259,1/1/06,Dallas,264100
1301,1/1/06,Dallas,137100
1311,1/1/06,Dallas,120100
1339,1/1/06,Dallas,87900
1350,1/1/06,Dallas,134700
1365,1/1/06,Houston,210700
1383,1/1/06,Dallas,114600
1409,1/1/06,San Antonio,265700
1412,1/1/06,Dallas,136000
1422,1/1/06,Houston,209300
1444,1/1/06,San Antonio,123400
1493,1/1/06,Dallas,180600
1533,1/1/06,Dallas,81800
1650,1/1/06,Dallas,141400
1675,1/1/06,Houston,114900
1687,1/1/06,Houston,131900
1703,1/1/06,Houston,98200
1735,1/1/06,El Paso,79200
1737,1/1/06,San Antonio,176000
1739,1/1/06,Dallas,106900
1742,1/1/06,Houston,155000
1773,1/1/06,Austin,152300
1781,1/1/06,Dallas,176100
1805,1/1/06,Dallas,468000
1816,1/1/06,Houston,143500
1848,1/1/06,Houston,104500
1852,1/1/06,San Antonio,162300
1946,1/1/06,Austin,153500
1967,1/1/06,Houston,125000
1972,1/1/06,Dallas,155300
2058,1/1/06,Houston,124800
