SizeRank,City,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
3,Houston,130800,130900,131100,131500,131800,132200,132600,133000,133500,134000,134400,134800,135200,135300,135500,135700,136000,136300,136700,137100,137400,137600,137600,137400,136900,136100,135200,134500,133700,132900,132100,131600,131200,130900,130600,130300,130100,129700,129400,129100,128700,128200,128000,128100,128300,128500,128700,129000,129100,129300,129000,128500,128100,128000,127600,126700,126000,125500,124800,123900,123400,123100,122900,122800,122800,122700,122200,121500,120900,120700,120700,120400,120200,120100,120000,119900,120100,120400,121000,121900,122100,121700,121400,121600,122000,122500,122900,123000,123200,123800,124500,125300,126200,127000,127800,128600,129000,129200,130100,131300,132400,133100,133900,134600,135700,137000,138200,139200,140200,141100,142200,143600,144700,145400,146200,147100,148000,148900,149700,150800,152100,153300,154500,155800,157300,159400,161500,163400,164900,166300,167700,169100,170400,171300,172400,173800,174700,174900,175000,175400,176400,177500,178300,179100,180600,182100,183500,184800,186000,186700,187600,188600,189400,190200,191100,192400,193800,195200,195300,194300,194100,195600,196900,197200
5,San Antonio,109900,110300,110900,111500,112200,113000,113700,114500,115300,116300,117400,118500,119500,120500,121400,122400,123500,124700,125900,126900,127800,128600,129200,129600,129600,129300,128600,127700,126600,125800,125100,124500,124000,123600,123200,123000,122800,122600,122300,121800,121300,120900,120600,120200,119900,119700,119700,119800,120100,120100,120500,121100,121600,121500,121000,120700,120400,120100,119600,118800,118200,117800,117500,117200,117100,117000,117000,117500,117800,117600,117300,117200,116800,116600,116800,117000,117000,117100,117300,117400,117400,117500,117700,118000,118200,118400,118600,118800,119100,119500,119700,120000,120300,121000,121600,122000,122300,122600,123000,123300,123700,124400,125200,125800,126300,127000,127700,128500,129300,130000,130600,131400,132100,133000,134000,134900,135700,136500,137200,138000,138800,139500,140100,140900,141700,142400,143200,144200,145200,145900,146800,148000,149300,150700,152000,153600,155200,156400,157100,157800,158700,159800,160700,161500,163100,165000,166600,167400,168000,168900,169900,170800,172000,173300,174300,175600,176700,177600,177700,177400,177400,178300,179000,179100
10,Dallas,124700,124900,125200,125600,125900,126000,126100,126000,126000,126100,126200,126100,126100,126100,126300,126600,126900,127200,127600,127900,128200,128400,128400,128000,127200,126000,124800,123500,122400,121500,120700,119900,119200,118600,118000,117400,116900,116400,115900,115400,114700,113900,113300,112900,112500,112200,112000,111800,111700,112000,111800,110900,110200,110000,109400,109100,109100,108900,108500,108100,107700,107100,106500,105900,105200,104700,104500,104100,103400,102600,102100,101900,101600,101300,101000,101000,101300,101400,101200,100900,100500,100500,100600,100600,100600,101000,101500,102400,103300,104400,105500,106500,107300,108000,108700,109400,110000,110400,110900,111400,111700,111900,112400,113400,114200,114900,115800,117000,117800,118200,119000,120000,121000,121900,122600,123300,124300,125400,126300,127000,127400,128100,129600,132000,134800,137700,140900,144100,147400,150900,154000,156800,159900,163300,167200,171200,174300,176000,177400,179600,182500,184500,185400,186400,188600,191500,194100,196800,200200,203100,205300,207300,208900,210800,214200,219300,224600,228900,229100,225900,223200,223400,223800,223600
11,Austin,202900,203100,203400,203800,204500,205300,206500,207900,209200,210300,211200,212100,213000,214000,214900,215900,216900,217900,218900,219900,220900,221800,222600,223000,223400,223800,224100,224200,224400,224700,224800,224600,224300,224100,223900,223600,223500,223600,223600,223500,223300,223000,222900,223000,223400,224000,224600,225100,225600,225800,225900,225600,225000,224300,223500,222700,221900,220900,220300,219600,218500,217300,216700,216700,216900,216700,216200,215500,215300,215600,216300,217700,219200,220200,220800,221500,222100,222800,224100,226100,227600,228700,229900,231100,232300,233700,234900,236000,237300,239000,240800,242500,244500,246500,247900,248800,249900,251000,252000,253700,255600,257600,260000,262800,265300,267000,268700,270700,272700,274700,277500,280600,283800,286600,289000,291100,292800,293900,294800,296200,297800,299500,301800,304900,307600,309900,312100,314500,316900,319400,321400,322900,324600,326400,328000,329900,332400,335100,336900,337400,337700,339200,342200,345800,350000,354400,357500,359000,359900,361100,362900,365000,367200,370100,373200,375200,376700,379400,381500,381300,381300,382500,383400,383600
17,Dallas,125700,125900,126000,126200,126400,126800,127100,127500,127800,128000,128300,128600,128700,128700,128600,128600,128700,129000,129200,129500,129800,130100,130200,130000,129400,128600,127700,126800,125900,125100,124500,124000,123700,123400,123200,123000,122800,122600,122300,122000,121600,121200,121000,121000,121000,121200,121400,121500,121600,121800,121700,121400,121100,121000,120800,120500,120100,119600,118700,118200,117900,117500,116700,115900,115100,114400,113800,113400,113200,112900,112500,111800,111300,110900,111200,112100,113100,113300,113300,113300,113000,112800,113200,113700,114100,114800,115200,115400,115700,116700,117600,118300,118800,119200,119800,120500,120700,120800,121600,122600,123200,123700,124500,125200,126000,127000,127900,128400,129100,129900,130700,131400,132100,132900,133800,134800,135900,137000,137800,138500,139500,140600,141700,143000,144400,145600,146600,147800,149300,150900,152300,153900,155600,157100,158900,160900,163200,165400,167700,169500,170700,172100,173900,175600,177700,180200,181700,182300,183300,184700,185800,187000,188700,190800,192600,194600,196500,197600,197800,197800,197700,197800,198200,198800
22,El Paso,101000,101800,102700,103800,105100,106400,107900,109400,111000,112500,113900,115100,116400,117700,119200,120900,122800,124500,126100,127300,128200,128700,128800,128600,128000,127000,126000,125000,124000,123100,122400,121700,121200,120800,120500,120200,120000,119900,119600,119300,118800,118400,118100,118000,118100,118300,118500,118600,118900,119100,119100,118700,118400,118500,118500,118300,118200,118200,118200,118300,118300,118100,117700,117700,117600,117100,116600,116200,115800,115300,114900,114700,114400,114300,114300,114300,114600,115000,115100,115200,115400,115400,115400,115300,115400,115400,115400,115300,115200,115000,115000,114700,114400,114300,114200,113900,113900,114200,114600,114700,114500,114600,114900,115300,115200,114900,114800,114900,114800,114700,114700,115000,115300,115300,115000,114800,114800,114900,115200,115400,115400,115100,114900,114900,114700,114400,114500,114600,115000,115700,116300,116800,117300,117700,118100,118800,119500,120000,120400,120800,121300,121700,121800,121800,121900,122200,122700,123100,123700,124400,124900,125400,126200,126800,127400,128200,128900,129300,129500,129300,129300,129900,130400,130700
50,Dallas,131100,131500,132000,132500,133000,133600,134000,134300,134500,134700,135000,135200,135300,135300,135400,135400,135400,135600,135800,136100,136600,137000,137200,137100,136600,135800,134900,133900,133000,132200,131500,130900,130400,130100,129900,129700,129500,129300,129000,128600,128100,127700,127600,127700,127900,128100,128300,128300,128400,128700,129000,128800,128800,128900,128800,128500,127900,127100,126000,125400,125200,124700,123900,123500,123000,122500,122200,122300,122500,122400,122200,121900,121200,120600,120700,121300,121800,121900,121700,121300,121000,120900,121200,121600,122300,123000,123600,124000,124700,125400,126000,126700,127400,127900,128700,129400,129800,130200,131100,131900,132300,132900,133900,134700,135500,136300,137200,137900,138500,139000,139700,140700,141600,142600,143800,145200,146300,147400,148500,149600,150800,152200,153600,155200,156900,158900,160600,162300,164200,166300,167900,169600,171400,173100,174400,175900,177300,178700,180100,181500,182700,183900,185200,186600,188600,191100,192900,193900,195300,196700,197800,198700,200000,202000,204300,206600,208700,210000,210200,209700,209800,210800,211700,212300
66,Corpus Christi,109400,109800,110300,110800,111400,112000,112500,113100,113700,114400,115200,116100,117000,117900,118800,119700,120400,121100,121800,122600,123400,124100,124800,125400,125800,125900,125800,125500,125100,124500,123800,123200,122700,122200,121800,121400,120900,120400,119900,119400,119000,118400,117900,117500,117300,117100,117100,116900,116700,116600,116600,116300,116000,116100,116300,116200,115900,115300,114300,113200,112500,112200,111900,111600,111600,111900,111800,111200,110800,110800,110900,111000,111300,111500,111700,111900,112100,112500,113300,114100,114800,115300,115900,116700,117600,118200,118500,118600,118600,118400,118300,118200,118200,118400,118700,118500,118300,118600,119100,119700,120500,121000,121400,122100,122700,123200,123900,124900,125600,125600,125800,126500,127700,128400,128800,129300,130100,130800,131100,131100,131500,132400,133400,134200,134700,135000,135600,136600,137100,137400,138200,139100,139800,140700,141600,142000,141900,141900,141800,141900,142600,143100,143500,144200,144400,143800,143900,144800,145900,147100,148200,148300,148400,148900,149200,149500,150400,150900,150400,149300,148400,147900,147700,148000
79,Dallas,203000,203600,204200,205000,205700,206500,207100,207700,208300,208700,208900,209000,209100,209000,208800,208700,208700,208900,209100,209500,209900,210300,210400,210300,209700,208900,208000,207200,206600,206100,205700,205400,205000,204700,204500,204700,204900,205000,204900,204600,204300,204000,204100,204200,204300,204500,204700,205000,205400,205800,206200,206200,205900,205500,205400,205000,204600,204400,204300,203600,202500,202000,201900,201700,202100,202300,201900,201500,201300,201500,201900,202400,203100,204000,204800,205400,206000,206400,207100,207800,208400,208800,209200,209600,210000,210100,210500,211700,213800,215800,217700,219700,222300,224700,226200,227300,228800,230200,231000,231400,231200,231300,232500,234300,235900,237500,239300,242100,244700,247000,249700,252900,255500,257700,259900,261800,263300,264400,265800,267400,269100,271300,274200,277500,281100,285100,289000,291900,293800,295300,297000,299400,301600,302800,304100,306500,308900,310500,312700,315900,319100,321300,322400,323200,325400,329000,332300,334400,336000,336600,335400,333700,333400,334700,337200,340400,343000,344600,343500,340600,338800,339600,339600,338600
109,Dallas,117700,117900,118200,118600,119000,119300,119500,119700,119900,120100,120300,120500,120700,120900,121100,121500,121900,122300,122800,123300,123700,124100,124200,124100,123600,122700,121600,120400,119300,118200,117400,116800,116400,116000,115600,115200,115000,114800,114500,114000,113400,112800,112300,112100,112100,112100,112100,112100,112000,112200,112300,112100,112000,112100,111700,111400,111100,110500,109800,109000,108400,107700,107200,107000,106500,105800,105200,104600,103900,103500,103300,103200,103200,103100,103100,102900,103000,103700,104700,105400,105700,105900,106400,106900,107000,106800,107000,107500,108400,109200,109500,109600,110000,110600,111200,111500,111700,112100,112700,113500,114300,114900,115900,117200,118300,118900,119500,120200,121300,122500,123800,124900,125500,125900,126400,127100,127900,128900,129800,130900,132000,133100,134700,136900,139100,141500,144200,146700,149100,151500,153500,155600,158100,160500,163000,166200,168900,170200,171100,172600,174500,176600,178400,180100,182100,184100,185300,186500,188400,190300,191700,193000,194400,196100,198500,202000,205500,208200,208100,205400,203200,203300,204300,205100
