YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2010-09,2010,Houston,Houston-The Woodlands-Sugar Land,TX,3,4.321
2010-09,2010,San Antonio,San Antonio-New Braunfels,TX,5,3.849
2010-09,2010,Spring,Houston-The Woodlands-Sugar Land,TX,113,3.922
2010-09,2010,Sugar Land,Houston-The Woodlands-Sugar Land,TX,191,3.03
2010-09,2010,Cypress,Houston-The Woodlands-Sugar Land,TX,213,3.772
2010-09,2010,Conroe,Houston-The Woodlands-Sugar Land,TX,222,3.778
2010-09,2010,Pasadena,Houston-The Woodlands-Sugar Land,TX,227,5.243
2010-09,2010,Pearland,Houston-The Woodlands-Sugar Land,TX,277,3.115
2010-09,2010,The Woodlands,Houston-The Woodlands-Sugar Land,TX,379,2.957
2010-09,2010,League City,Houston-The Woodlands-Sugar Land,TX,403,3.699
2010-09,2010,New Braunfels,San Antonio-New Braunfels,TX,430,3.546
2010-09,2010,Missouri City,Houston-The Woodlands-Sugar Land,TX,595,4.359
2010-09,2010,Richmond,Houston-The Woodlands-Sugar Land,TX,600,4.35
2010-09,2010,Tomball,Houston-The Woodlands-Sugar Land,TX,606,3.924
2010-09,2010,Atascocita,Houston-The Woodlands-Sugar Land,TX,639,3.92
2010-09,2010,Baytown,Houston-The Woodlands-Sugar Land,TX,653,4.8
2010-09,2010,Galveston,Houston-The Woodlands-Sugar Land,TX,1090,5.984
2010-09,2010,Katy,Houston-The Woodlands-Sugar Land,TX,1167,3.891
2010-09,2010,Seguin,San Antonio-New Braunfels,TX,1172,4.391
2010-09,2010,Texas City,Houston-The Woodlands-Sugar Land,TX,1254,5.748
2010-09,2010,Montgomery,Houston-The Woodlands-Sugar Land,TX,1373,3.653
2010-09,2010,Boerne,San Antonio-New Braunfels,TX,1416,4.074
2010-09,2010,Friendswood,Houston-The Woodlands-Sugar Land,TX,1427,3.5
2010-09,2010,Converse,San Antonio-New Braunfels,TX,1448,4.164
2010-09,2010,La Porte,Houston-The Woodlands-Sugar Land,TX,1668,4.121
2010-09,2010,Deer Park,Houston-The Woodlands-Sugar Land,TX,1679,4.08
2010-09,2010,Cibolo,San Antonio-New Braunfels,TX,1728,3.155
2010-09,2010,Porter,Houston-The Woodlands-Sugar Land,TX,1733,3.808
2010-09,2010,Willis,Houston-The Woodlands-Sugar Land,TX,1799,3.228
2010-09,2010,Rosenberg,Houston-The Woodlands-Sugar Land,TX,1828,4.551
2010-09,2010,Schertz,San Antonio-New Braunfels,TX,1831,3.274
2010-09,2010,Lake Jackson,Houston-The Woodlands-Sugar Land,TX,1935,3.584
2010-09,2010,Crosby,Houston-The Woodlands-Sugar Land,TX,2007,4.628
