YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2010-09,2010,Houston,Houston-The Woodlands-Sugar Land,TX,3,4.321
2010-09,2010,San Antonio,San Antonio-New Braunfels,TX,5,3.849
2010-09,2010,Dallas,Dallas-Fort Worth-Arlington,TX,10,4.559
2010-09,2010,Austin,Austin-Round Rock,TX,11,3.454
2010-09,2010,Fort Worth,Dallas-Fort Worth-Arlington,TX,17,4
2010-09,2010,El Paso,El Paso,TX,22,4.021
2010-09,2010,Arlington,Dallas-Fort Worth-Arlington,TX,52,4.353
2010-09,2010,Corpus Christi,Corpus Christi,TX,69,4.734
2010-09,2010,Plano,Dallas-Fort Worth-Arlington,TX,82,2.981
2010-09,2010,Lubbock,Lubbock,TX,90,3.271
2010-09,2010,Laredo,Laredo,TX,108,6.066
2010-09,2010,Garland,Dallas-Fort Worth-Arlington,TX,112,4.452
2010-09,2010,Spring,Houston-The Woodlands-Sugar Land,TX,113,3.922
2010-09,2010,Irving,Dallas-Fort Worth-Arlington,TX,119,3.951
2010-09,2010,Amarillo,Amarillo,TX,149,3.576
2010-09,2010,Brownsville,Brownsville-Harlingen,TX,157,5.155
2010-09,2010,Grand Prairie,Dallas-Fort Worth-Arlington,TX,165,4.107
2010-09,2010,Killeen,Killeen-Temple,TX,182,4.418
2010-09,2010,Sugar Land,Houston-The Woodlands-Sugar Land,TX,191,3.03
2010-09,2010,McKinney,Dallas-Fort Worth-Arlington,TX,196,3.052
2010-09,2010,Odessa,Odessa,TX,203,4.002
2010-09,2010,Midland,Midland,TX,206,2.867
2010-09,2010,Tyler,Tyler,TX,210,4.566
2010-09,2010,Cypress,Houston-The Woodlands-Sugar Land,TX,213,3.772
2010-09,2010,Round Rock,Austin-Round Rock,TX,214,3.227
2010-09,2010,Edinburg,McAllen-Edinburg-Mission,TX,221,6.258
2010-09,2010,Conroe,Houston-The Woodlands-Sugar Land,TX,222,3.778
2010-09,2010,Pasadena,Houston-The Woodlands-Sugar Land,TX,227,5.243
2010-09,2010,Beaumont,Beaumont-Port Arthur,TX,228,3.974
2010-09,2010,Frisco,Dallas-Fort Worth-Arlington,TX,230,2.861
2010-09,2010,Mesquite,Dallas-Fort Worth-Arlington,TX,238,5.003
2010-09,2010,McAllen,McAllen-Edinburg-Mission,TX,245,5.057
2010-09,2010,Abilene,Abilene,TX,257,4.352
2010-09,2010,Carrollton,Dallas-Fort Worth-Arlington,TX,266,3.269
2010-09,2010,Waco,Waco,TX,274,4.231
2010-09,2010,Pearland,Houston-The Woodlands-Sugar Land,TX,277,3.115
2010-09,2010,Denton,Dallas-Fort Worth-Arlington,TX,279,3.42
