"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"United States",0,,1200,1250,1229,1250,1200,1200,1049.5,1095,1099,1100,1100,1150,1275,1350,1350,1360,1350,1375,1300,1153,1100,1150,1150,1150,1200,1250,1320,1285,1269,1225,1250,1200,1216,1235,1150,1250,1295,1300,1315,1325,1400,1411,1550,1630,1550,1625,1600,1600,1600,1620,1700,1700,1509,1500,1500,1480,1473,1425,1450,1490,1500,1500,1520,1500,1500,1500,1499,1495,1419,1450,1460,1500,1500,1495,1499,1479,1500,1490,1450,1516.5,1525,1424,1450,1400,1410,1435,1416,1412,1405,1419,1400,1400,1400,1400,1400,1409,1425,1435,1450,1450,1464,1465,1450,1440,1435,1445,1450,1469,1484,1487,1486,1495,1495,1481
"New York, NY",1,,,,,,,,,,,,,,,,,,,,2195,2195,2250,2250,2250,2300,2350,2395,2400,2400,2400,2435,2450,2495,2500,2500,2495,2550,2500,2550,2600,2600,2546,2575,2600,2650,2550,2550,2500,2550,2550,2550,2595,2575,2200,2126.5,2150,2150,2150,2100,2100,2120,2150,2200,2250,2200,2100,2190.5,2170,2130,2100,2100,2100,2100,2100,2150,2200,2200,2200,2200,2295,2400,2300,2050,2125,2100,2100,2150,2160,2195,2199,2199,2195,2125,2100,2065,2077,2095,2100,2150,2150,2195,2185,2192,2175,2123,2100,2100,2100,2100,2150,2200,2200,2200,2200,2200
"Los Angeles-Long Beach-Anaheim, CA",2,,1375,1425,1425,1412.5,1515,1597.5,1388,1325,1350,1350,1295,1300,1312.5,1300,1350,1325,1300,1300,1275,1250,1235,1211.5,1250,1295,1325,1325,1330,1341,1342,1349,1386,1380.5,1395,1350,1355,1415,1450,1425,1443,1430,1399,1395,1398.5,1445,1350,1495,1490,1450,1425,1475,1540,1540,1550,1595,1625,1675,1685,1695,1695,1715,1701,1700,1720,1725,1735,1750,1750,1755,1800,1795,1825,1850,1880,1856.5,1850,1850,1880,1805,1845,1800,1818,1800,1870,1915,1950,1950,1950,1967.5,1975,1970,1960,1975,1969,1946.5,1930,1957,1965,1950,2000,2035,2055,2095,2092,2110,2118.5,2107,2095,2112.5,2138,2158,2153,2150,2150.5,2170
"Chicago, IL",3,,1050,1107.5,1050,1095,995,950,1095,1225,1250,1255,1125,1200,1199,1235,1250,1340,1295,1250,1291,1275,1250,1295,1300,1229,1185,1148,1195,1260,1250,1250,1300,1385,1325,1375,1350,1495,1400,1450,1471.5,1500,1520,1529,1500,1480,1520,1599,1564,1473,1445,1400,1395,1430,1575,1396.5,1611,1640,1607,1350,1495,1599,1395,1395,1402,1395,1369,1369,1525,1615,1700,1625,1565,1650,1495,1450,1445,1425,1395,1395,1395,1385,1425,1450,1395.5,1400,1405,1400,1425,1425,1420,1442.5,1495,1500,1526,1495,1480,1495,1495,1495,1495,1495,1500,1505,1500,1495,1525,1545,1585,1595,1600,1550,1550,1525,1500,1495
"Dallas-Fort Worth, TX",4,,,,,,,,999.5,1126,1100,1060,954,875,875,850,850,868,870,760,760,705,690,721,744,777,807,775,795,796,790,787,800,802,810,834.5,945,835,850,855,866,880,895,850,964.5,1022,1057.5,1050,1029,999,1000,1020,974.5,995,942.5,926.5,925,940,1003.5,1013.5,1000,980,950,990,990,999,999,1012.5,1039,1030,1060,1060,1069,1079,1109,1093,1099,1090,1089,1085,1145,1086,1096,1054,1140,1145,1165,1170,1179,1200,1200,1211,1187,1186,1217,1205,1200,1242,1235,1235,1254,1255,1269,1266,1267,1289,1290,1275.5,1270,1277,1275,1270,1273,1265,1260,1250
"Philadelphia, PA",5,,,,,,,900,895,880,899,895,959.5,940,927,985.5,950,950,925,925,925,900,920,915,925,950,960,995,975,975,962.5,987,970,975,990,930,905,940,950,964,1021,1000,955,935,950,939,975,955,914.5,925,928,960,1075,1075,1055,1050,1000,1000,1000,985,986,1000,1040,1100,1100,1090,1050,1087,1050,1025,1100,1055,1100,1100,1129.5,1150,1190,1150,1160,1150,1150,1162.5,1120,1164.5,1144,1185,1239,1250,1295,1270,1285,1280,1250,1223.5,1245,1230,1235,1244,1300,1315,1350,1335,1350,1340,1340,1320,1350,1350,1350,1385,1400,1393,1375,1393,1385,1385
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.5,979,1090,1005,995,1020,1050,1065,1057,1050,1063,1084.5,1025,1030,1029.5,1036.5,1058,1090,1100,1110,1110,1100,1120,1125,1249,1225,1248,1180,1200,1181.5,1173.5,1145,1123,1102.5,1119,1080,1015,1072.5,1101,1140,1149,1158,1167,1150,1145,1150,1175,1185,1191,1199,1200,1225,1235,1229,1221,1225,1225,1221,1214,1200,1200,1195,1191,1195,1235,1225,1215,1229,1213,1211
"Washington, DC",7,,1300,1425,1400,1400,1400,1399,1450,1452.5,1450,1471,1495,1405,1400,1495,1495,1500,1550,1825,1855,1825,1628,1650,1690,1700,1755,1755,1778,1800,1795,1720,1725,1720,1723,1725,1735,1725,1745,1701,1620,1650,1629,1700,1702.5,1695,1680,1650,1670,1650,1644,1650,1700,1720,1797,1815,1725,1700,1700,1700,1700,1745,1749,1753,1750,1750,1735,1747,1748.5,1727,1699,1699,1702,1730,1735,1740,1704,1735,1736.5,1690,1666,1650,1655,1652,1730,1750,1785,1772,1779,1795,1790,1820,1775,1791,1779.5,1765,1775,1760,1780,1781,1797,1800,1800,1829,1799,1805,1807,1835,1850,1832,1847,1875,1880,1905,1899,1900
"Miami-Fort Lauderdale, FL",8,1300,1300,1300,1292.5,1300,1200,1200,1350,1350,1300,1320,1300,1300,1300,1300,1290,1275,1250,1250,1250,1200,1250,1250,1250,1250,1250,1205,1200,1250,1250,1245,1200,1175,1175,1185,1185,1200,1200,1210,1250,1300,1450,1425,1400,1425,1450,1450,1400,1375,1325,1300,1350,1379,1390,1395,1400,1400,1425,1400,1450,1500,1500,1500,1582.5,1643.5,1600,1650,1600,1600,1650,1600,1650,1650,1675,1604.5,1600,1595,1500,1544,1590,1575,1600,1500,1550,1550,1555,1550,1590,1595,1575,1600,1600,1600,1600,1600,1600,1625,1635,1650,1655.5,1650,1650,1650,1659,1660,1660,1650,1650,1670,1658.5,1680,1690,1683,1684,1670
"Atlanta, GA",9,999,975,1000,1000,1062.5,1000,995,950,1000,999.5,962,900,975,950,945,900,896,877,899,900,825,819,843,800,840,799,797,830,835,840,865,840,845,825,814,802,795,795,799,825,819.5,835,840,899,975,940,997.5,1035,1005,1015.5,1025,1015.5,1044,1050,1025,1054,1030,1030,1031.5,1060,1090,1081,1090,1120,1142.5,1144,1155,1143,1137,1170,1170,1175,1175,1203,1200,1095,1165.5,1152,1172,1205,1139,1140,1116,1205,1200,1228,1233,1255,1250,1250,1265,1259,1250,1250,1260,1270,1270,1275,1279,1299,1290,1329,1350,1328,1396,1393,1395,1400,1410,1428,1410,1395,1390,1391.5,1404
