"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"United States",0,,,1350,1350,1350,1400,1300,1250,1225,1250,1250,1290,1200,1250,1300,1400,1400,1395,1395,1400,1350,1250,1200,1250,1250,1250,1300,1325,1375,1345,1319,1325,1300,1295,1300,1300,1250,1300,1350,1350,1371,1350,1405,1425,1500,1600,1504,1600,1600,1595,1600,1638,1715,1750,1550,1550,1518.5,1500,1495,1450,1475,1500,1529.5,1540,1599,1580,1595,1595,1550,1525,1505,1525,1550,1590,1600,1600,1600,1599,1650,1600,1585,1600,1638,1500,1550,1500,1530,1575,1575,1575,1575,1559,1535,1510,1500,1509,1520,1550,1580,1600,1620,1635,1649,1643,1600,1600,1600,1600,1600,1625,1650,1668,1675,1684,1685,1660
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544,2595,2590,2550,2500,2500,2500,2500,2500,2595,2549,2500,2500,2500,2500,2465,2450,2400,2450,2495,2500,2500,2545,2549,2500,2595,2600,2595,2400,2400,2395,2400,2450,2500,2500,2500,2500,2490,2400,2400,2395,2375,2365,2400,2450,2500,2500,2500,2500,2499,2410,2400,2400,2400,2400,2450,2500,2500,2545,2500,2540
"Los Angeles-Long Beach-Anaheim, CA",2,,1950,1900,1992.5,1990,2000,2100,2150,1950,1897,1899,1900,1815,1850,1825,1875,1900,1900,1900,1875,1802.5,1750,1700,1709,1725,1750,1786,1775,1790,1783.5,1770,1785,1800,1790,1779,1735,1750,1797,1815,1815,1850,1850,1843,1800,1900,1900,1800,1995,1950,1910,1900,1945,1995,2025,2091.5,2095,2100,2150,2146,2164,2165,2160,2155,2195,2200,2210,2215,2250,2250,2279,2300,2299,2300,2325,2365,2350,2350,2350,2329.5,2335,2350,2300,2331.5,2295,2350,2450,2495,2500,2500,2500,2495,2495,2495,2495,2475,2478,2459,2495,2499,2500,2500,2525,2550,2578,2548,2568,2565,2570,2560,2589,2595,2607,2624,2630,2635,2650
"Chicago, IL",3,,,1347.5,1350,1350,1400,1400,1375,1361,1400,1400,1460,1440,1500,1500,1550,1595,1650,1600,1595,1600,1550,1495,1495,1495,1475,1450,1400,1425,1500,1483,1480,1495,1500,1450,1495,1455,1550,1500,1500,1600,1636.5,1650,1655,1650,1595,1600,1695,1550,1500,1500,1546,1600,1600,1695,1600,1695,1650,1600,1495,1500,1625,1550,1600,1600,1600,1600,1600,1650,1645,1695,1600,1595,1695,1600,1600,1650,1650,1615,1600,1585,1550,1500,1525,1550,1550,1595,1600,1635,1640,1606,1600,1600,1595,1595,1595,1595,1620,1660,1695,1700,1725,1700,1700,1750,1695,1699,1700,1750,1770,1795,1770,1750,1750,1750,1710
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,995,1000,969,980,995,995,950,945,900,899,950,953,964,1005,968,995,1005,1000,1002,1020,1029,1030,1095,1188,1095,1125,1110,1151,1180,1187,1065,1200,1340,1350,1350,1299,1250,1279,1325,1250,1251,1239,1225,1200,1195,1251,1269,1259,1250,1241,1260,1269,1276.5,1291,1300,1295,1311,1315,1330,1360.5,1389,1407,1398,1395,1391,1381,1368.5,1412,1370,1343.5,1295,1405,1411,1469,1500,1500,1540,1515,1518,1492.5,1450,1485,1494.5,1490,1541.5,1550,1560,1579,1575,1592,1595,1588,1608,1599,1600,1590,1595,1611,1600,1597,1585,1582,1577
"Philadelphia, PA",5,,1260,1200,1200,1250,1325,1350,1375,1250,1250,1247.5,1225,1200,1200,1200,1250,1250,1250,1250,1250,1250,1200,1200,1250,1255,1265,1275,1300,1300,1299,1295,1250,1237,1225,1210,1200,1200,1200,1250,1250,1300,1295,1250,1250,1295,1250,1250,1261,1250,1225,1200,1250,1300,1300,1300,1300,1295,1300,1300,1290,1275,1295,1300,1325,1350,1350,1325,1350,1320,1300,1325,1300,1355,1372.5,1385,1400,1412.5,1400,1390,1398,1400,1365,1353.5,1362.5,1375,1400,1439.5,1450,1495,1480,1489,1495,1495,1450,1450,1425,1435,1440,1490,1500,1550,1550,1549,1550,1520,1500,1500,1499,1525,1565,1595,1595,1600,1600,1600,1600
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,1210,1337,1207.5,1160,1207.5,1276,1275,1275,1265,1289,1325,1250,1264.5,1269,1260,1300,1350,1375,1395,1395,1380.5,1375,1375,1489,1471,1490,1450,1480,1459,1429,1415,1400,1369,1390,1319,1304,1300,1360,1400,1391,1400,1435,1405,1416,1437,1458,1445,1450,1450,1439,1470,1489,1500,1500,1500,1499,1500,1489,1469,1455,1450,1448,1450,1480,1461,1475,1474,1470,1469
"Washington, DC",7,,1600,1550,1595,1550,1600,1599.5,1595,1550,1550,1575,1595,1580,1550,1550,1650,1650,1650,1650,1764,1800,1750,1675,1710,1710,1717,1770,1800,1892.5,1850,1789.5,1740,1730,1784,1840,1858,1890,1912,1929.5,1894,1800,1849,1857.5,1910,1925,1900,1900,1835,1875,1859,1850,1875,1940,1955,2010,2015,1966,1919,1910,1900,1900,1969.5,1949,1975,1965,1950,1950,1950,1950,1900,1880,1850,1900,1925,1950,1950,1925,1910,1889,1850,1825,1814,1810,1875,1910,1975,1990,1997,1985,1990,1970,1965,1909,1918,1949,1935,1940,1950,1975,1998,2020,2045,2030,2031,1989,2030,2021,2060,2075,2050,2074,2120,2155,2150,2145,2100
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,1750,1750,1750,1600,1600,1550,1550,1550,1500,1500,1500,1500,1500,1500,1500,1450,1450,1499,1450,1450,1500,1475,1490,1450,1400,1400,1400,1425,1425,1450,1450,1500,1500,1625,1600,1600,1650,1650,1700,1671,1650,1600,1600,1650,1600,1600,1600,1650,1650,1600,1600,1625,1650,1700,1700,1750,1800,1800,1850,1799.5,1800,1850,1850,1850,1860,1900,1800,1800,1800,1750,1750,1800,1786,1874,1700,1800,1800,1800,1800,1850,1840,1818,1850,1875,1875,1875,1895,1887,1900,1900,1950,1950,1950,1950,1950,1950,1991,1975,1960,1950,1950,1965,2000,1999,1950,1970,1990
"Atlanta, GA",9,,900,950,950,950,950,900,900,900,895,895,950,850,900,900,900,900,900,895,895,885,850,850,860,850,899,900,895,897,895,886,900,875,885,875,875,865,865,875,875,890,895,905,895,900,875,872.5,900,925,915,916,950,950,950,950,950,950,975,1019,1000,1005,1050,1050,1085.5,1119,1178,1150,1165,1150,1139,1342,1309,1319,1308,1325,1330,1175,1275,1250,1246,1285,1200,1200,1200,1253,1279,1319,1350,1383,1365,1375,1390,1398,1390,1380,1385,1400,1421.5,1447,1472,1480,1475,1495,1505,1476,1558,1550,1540,1540,1580,1585,1600,1585,1585,1565,1565
