RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
9,California,1,25114,25553,25874,27333,29289,30483,32971,34623,34846,35414,36533,39350,38909,36850,34270,34085,34997,34982,35354,35247,36332,37328,37451,38190,37273,36056,34627,33703,32281,30672,29900,29792,30755,32182,34914,36502,36724,34960,32921,31574,30845,31538,31725,31805,32167,33113,35758,38084,38419,36853,35181,34112,33969,33786,32968,33923,34723,37266,38918,40169,39650,38326,37276,36109,36443,36216,36470,35875,35037,35172,35887,36785,36200,35605,34767,34910,34862,34627,35196,35477,34985,35334,35428,37094,37399,37980,37839,38720,39549,39489,39427,38137,37052,37319,37923,40136,39619,39201,38290,38711,38409,39066,39128,39605,40581,40822,42439,42012,42391,40293,40228,40627,41033,41429,40509,40906,40565,39797,40251,40238,40877,40031,39583,38964,38751,38271,36326,35913,34930,34557,34687,35916,37100,36822,36657,36186,36746,35488
54,Texas,2,27621,26417,24732,24729,24515,24080,23104,22373,21371,21235,21039,22246,22643,22177,20955,21062,22060,22589,22592,22397,24491,24914,24382,23002,23308,24475,24569,24448,22301,20822,19114,19143,20170,20773,22436,22127,22633,21648,21485,21077,20655,21254,21013,21061,21109,21506,22224,22915,23242,23112,22912,23109,23917,23761,23017,23383,23631,24519,25524,26589,27186,27899,28028,28316,28059,28460,28728,28119,27610,27446,27950,27885,27965,27871,28135,28684,28865,27484,28076,28412,29790,29688,29553,29583,29764,29312,29297,29742,30793,31055,30799,30355,30062,30288,30806,32742,32819,32295,30995,31300,31398,32389,32094,32007,32528,32704,34281,34282,35013,33554,33371,33188,33480,32802,31778,32376,33881,34588,36232,36398,36541,35682,35518,35875,35661,35501,34620,34637,34536,34050,33165,31918,31692,31260,30573,29148,28265,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9423,9697,9975,10892,11474,11145,10766,10255,10264,9714,9046,8535,8316,8708,8954,9225,9308,9433,9680,9563,9354,9045,8966,8964,8860,9407,9810,10273,10303,10576,10561,10607,10888,11401,11652,11443,11402,11351,11136,10952,10896,11322,11443,11774,11639,11738,11865,11773,12040,11666,12091,12174,12538,12130,12244,12713,13220,13552,13324,13668,13664,13687,14202,14996,15497,15020,14612,14402,14814,14870,14828,14981,15034,15725,16537,17423,17761,17562,17466,16884,17057,16475,16833,16600,16642,17063,17110,17007,16379,15864,15930,15994,16228,15747,16083,15885,15615,15106,14539,14790,15083,15409,15250,15292,
14,Florida,4,17991,17456,17170,17574,17988,17682,17897,17818,17780,17677,18316,19578,20311,20048,20011,20686,21876,22448,23018,23677,25165,25887,26163,25424,25636,25259,25161,24858,24399,23935,23298,23158,24022,24807,27168,28387,29375,28298,27261,26004,24866,25069,24903,24774,25057,25189,26613,26894,27411,27258,27221,26820,26641,26570,26607,28032,29604,31078,32675,33223,33517,33069,33095,33362,33532,33672,34080,34204,34249,34569,35085,35527,35338,35076,35082,35388,35766,35506,36347,37210,38229,39314,38733,39347,39440,40305,39569,40057,40479,40657,40484,39681,39926,39208,38763,39213,38906,38636,37621,38032,37707,38384,37657,37610,38266,38733,39978,39605,40635,39904,40694,40667,41109,41095,37611,37713,37282,39604,40721,40784,41836,41716,42442,42436,42228,42107,41078,41266,41653,41222,41209,39886,40875,40504,40334,38210,38254,
21,Illinois,5,14976,14454,13072,12584,12654,12416,12544,12154,11704,11138,10630,11273,11602,11772,11089,10910,11349,11564,11934,12236,13726,14522,14289,13952,13776,14190,13782,13574,12675,11574,10306,9636,10010,10521,11500,11954,12304,11652,11119,10764,10645,10858,10661,10746,10947,11467,12530,13420,13668,13121,12442,12269,12195,12394,11858,11900,11635,12040,13374,14302,14573,13965,13228,13073,13705,14185,14649,14694,15252,15681,16172,16529,16222,15690,14935,15146,15043,14590,15240,15878,16249,16291,15647,16593,16538,16890,16231,16593,17476,18582,19179,19091,18655,18332,18238,20128,20529,20835,19736,20124,20275,20548,19962,19202,18938,19112,20175,20744,21485,20893,20822,20402,20340,20076,19107,18738,18608,18649,18980,18841,19366,19655,19893,20090,19710,18646,17181,16727,17110,17409,16629,16656,16767,17718,17690,17654,17873,18088
47,Pennsylvania,6,12768,12459,11413,11156,11088,10922,10845,10399,10019,9464,8970,9111,9184,9377,9012,9202,9743,10230,10542,10455,11246,11396,10713,9819,9809,10655,10884,11210,10732,9924,8774,8227,8515,8692,9149,9733,10050,9861,9294,9148,9149,9436,9169,9002,8842,8933,9559,10314,10537,10354,9913,9822,10044,9972,9524,9419,9756,10415,10973,11426,11469,11485,11220,11320,11598,11688,11980,11634,11454,11321,11410,11643,11555,11415,11112,11433,11687,11863,11831,11847,11838,12158,12156,12902,13105,13273,12666,12638,13461,13723,14023,13606,13578,13460,13481,14734,14930,14926,14159,14493,14603,14909,14585,14212,14323,14463,15435,15933,16463,15903,15536,15254,15276,15215,14845,15026,15350,15505,16226,16433,16630,16427,16118,16248,16161,16310,15934,15797,15733,15787,15840,15927,16106,16164,16059,15803,15885,
44,Ohio,7,13503,13010,11913,11796,11632,11271,11225,11163,10841,10665,10265,11061,10957,10947,10037,9956,10154,10461,10756,11049,11666,11952,11671,11544,11492,11885,11965,11979,10840,9727,8982,8985,9211,9463,10334,11090,11389,11007,10480,10024,9719,9767,9838,9889,9829,9950,10715,11807,12104,11692,10842,10440,10207,10021,9712,10035,10259,10884,11864,12985,13343,13007,12657,12776,13046,13089,12987,12804,12559,12495,12433,12657,12249,11873,11508,11911,12230,11900,12071,12218,12404,12831,12988,14123,14179,14391,13878,14052,14215,14276,14094,13752,13108,12890,13450,15122,15418,15204,14587,15123,15060,15238,15196,15186,15167,15278,15977,16584,16851,16514,16407,16415,16335,16403,16224,16702,16683,16719,17077,17213,17324,17037,16920,16775,16679,16835,16610,16896,16827,17193,17410,18259,18388,18529,18067,17935,17760,
30,Michigan,8,12802,13051,12178,11790,11332,10882,10956,10925,10077,10221,10375,12226,12859,13428,12897,12166,11936,11777,11969,11423,11036,11909,12488,14133,14302,15016,14233,13603,12097,11108,10313,10180,10101,10748,11683,13325,14025,13991,12985,11899,11292,11664,11713,11506,11428,11818,12827,14522,15344,15423,14201,13356,12936,12700,12544,13207,14387,15209,15910,16430,16690,16475,15508,15106,14840,14717,14997,15081,15396,15433,15287,15289,14630,14415,13591,13609,13737,13718,13989,14105,14530,15512,15307,15581,15000,15487,14796,15065,14831,15321,14926,14942,14614,14870,14935,16315,16566,16700,15985,15996,15942,16238,16485,15644,13874,13588,14859,16905,17446,16780,16744,16733,17123,17277,16656,16557,14753,14706,15124,16488,16664,16536,16791,16691,16927,17025,16846,16531,14750,14680,14268,16264,16680,17030,16520,16024,16600,
16,Georgia,9,13601,13284,12429,12208,12269,12169,12447,12618,12443,12131,10802,10316,10027,9993,9764,9655,10315,10910,11006,11061,11563,12193,11303,10832,10506,11203,11007,10745,10117,9670,9756,10638,11594,11703,11391,11284,11358,11064,11011,11018,11742,12968,15055,16885,18196,17988,18754,19798,20780,20841,20324,20913,21436,21904,21535,21935,22471,22498,22817,22802,22879,22179,21563,21627,21939,22201,22082,21894,21614,20962,20803,20594,21002,20306,20206,20115,20767,20800,21044,21144,21110,20943,20541,20618,20633,21073,19022,17747,15891,16040,17429,18499,18175,18103,17986,20629,21067,21806,21649,22582,22103,21687,20352,20155,20034,20013,18627,17512,17033,17422,18191,18208,18501,18262,17677,17915,18031,18570,17799,17764,17688,18695,18924,19198,19308,19607,18835,18795,18568,18433,17403,17104,17627,18637,18954,18824,19325,
36,North Carolina,10,10808,10382,9547,9448,9345,9084,8864,8459,7764,7371,7129,7698,7736,7635,7180,7333,7806,8035,8298,8416,8953,8946,8563,8244,8258,8744,8804,8908,8136,7543,6985,6945,7059,7389,7792,8094,8024,7847,7549,7381,7161,7347,7297,7214,7085,7156,7720,8366,8530,8299,7927,7813,7728,7623,7466,7696,8014,8654,9407,9905,9947,9915,9987,10106,10185,10225,10231,10126,9952,10064,10401,10640,10524,10183,10085,10272,10559,10471,10379,10472,10440,10980,11093,11585,11597,10874,10012,10083,11287,12081,12155,11745,11284,11116,11369,12674,13124,13412,13271,13823,13836,14218,14249,14287,14673,14869,15846,15903,16333,15693,15439,15324,15310,15697,15761,16324,16332,16073,16222,16284,16349,16163,16112,16231,16089,16392,15444,15524,15073,15302,15384,15760,16274,16106,15982,15892,16238,16010
40,New Jersey,11,7396,7399,7330,7179,7157,7103,6902,6373,5981,5653,5278,5169,5219,5394,5309,5269,5551,5988,6443,6552,7115,7386,7159,6408,6249,6541,6792,6986,6969,6599,5727,5102,5221,5331,5680,5859,6200,6119,5942,5720,5625,5692,5579,5521,5426,5517,5692,5930,6092,6227,6362,6238,6251,6053,5907,5857,5843,6226,6757,7160,7196,7104,7167,7121,7214,7156,7320,7281,7223,7134,6936,6716,6709,6698,6845,6839,7144,7209,7300,7167,7232,7576,7627,7882,7923,8164,8151,8443,8952,9411,9450,9348,9342,9463,9480,10100,10452,10557,10159,10174,10216,10408,10404,10561,10736,10777,11806,12271,13312,12831,12762,12353,12184,12577,12636,13186,13373,13424,13780,14129,14505,14806,14687,14532,13997,13825,13289,13416,13549,13597,13491,12957,13623,13671,14046,13596,13738,
56,Virginia,12,7598,7396,6776,6805,6816,6956,7103,7119,6885,6577,6626,7119,7194,6838,6251,6416,6717,6945,6967,7056,7756,7627,7616,7095,7176,7130,6920,6886,6303,6063,5768,5835,6146,6315,6982,7158,7239,6769,6348,6220,6052,6149,6091,6029,6132,6213,6937,7429,7565,7169,6788,6781,6781,6761,6484,6537,6843,7098,7914,8173,8370,7874,7634,7803,7857,7797,7590,7452,7405,7382,7533,7676,7530,7428,7264,7596,7771,7834,8025,8113,8196,8247,8494,8792,8963,8792,8589,8524,8802,8914,9104,8994,9037,9228,9558,10506,10434,10366,9959,10331,10235,10425,10287,10307,10354,10401,11305,11534,11647,10998,10750,10896,10684,10626,10214,10502,10585,10689,11047,11238,11416,11152,11040,11168,11205,11178,10554,10537,10597,10737,11334,11685,12045,11651,11513,11585,11666,
59,Washington,13,7164,6797,6008,5730,5496,5281,5259,5146,4752,4354,4378,4830,4983,4786,4519,4772,5204,5471,5594,5820,6493,6570,6561,6441,6733,6805,6475,6126,5314,4803,4437,4625,4926,5413,6059,6449,6466,6060,5658,5464,5362,5516,5515,5659,5851,6060,6517,6978,7101,6816,6362,6151,6049,6112,6011,6283,6514,6990,7591,7964,8168,7954,7832,7739,7983,8060,8087,7834,7739,7833,8329,8682,8605,8179,7835,7984,8109,8120,8209,8437,8541,8774,9022,9718,9903,10001,9630,9832,9953,9954,9897,9639,9494,9630,9906,10546,10619,10507,10427,10492,10520,10721,10785,10852,11082,11025,11765,11627,11592,10525,10462,10787,11190,11381,11172,11351,11580,11340,11607,11453,11512,10962,10621,10728,10843,10735,10101,9919,10049,10077,10661,11411,11510,10768,9707,9778,10033,10076
