year,month,date,bsi,RegionName,SizeRank
2010,11,11/1/2010,9.8,california,1
2010,11,11/1/2010,5.49,texas,2
2010,11,11/1/2010,0.2,new york,3
2010,11,11/1/2010,7.45,florida,4
2010,11,11/1/2010,1.76,illinois,5
2010,11,11/1/2010,1.96,pennsylvania,6
2010,11,11/1/2010,4.9,ohio,7
2010,11,11/1/2010,7.84,michigan,8
2010,11,11/1/2010,2.55,georgia,9
2010,11,11/1/2010,2.94,north carolina,10
2010,11,11/1/2010,0.39,new jersey,11
2010,11,11/1/2010,8.63,virginia,12
2010,11,11/1/2010,4.31,washington,13
2010,11,11/1/2010,4.51,massachusetts,14
2010,11,11/1/2010,3.14,indiana,15
2010,11,11/1/2010,7.65,arizona,16
2010,11,11/1/2010,6.08,tennessee,17
2010,11,11/1/2010,3.33,missouri,18
2010,11,11/1/2010,1.37,maryland,19
2010,11,11/1/2010,0.98,wisconsin,20
2010,11,11/1/2010,0.78,minnesota,21
2010,11,11/1/2010,5.88,colorado,22
2010,11,11/1/2010,6.86,alabama,23
2010,11,11/1/2010,2.35,south carolina,24
2010,11,11/1/2010,9.41,louisiana,25
2010,11,11/1/2010,6.27,kentucky,26
2010,11,11/1/2010,3.92,oregon,27
2010,11,11/1/2010,7.25,oklahoma,28
2010,11,11/1/2010,2.75,connecticut,29
2010,11,11/1/2010,6.47,iowa,30
2010,11,11/1/2010,3.53,mississippi,31
2010,11,11/1/2010,6.67,arkansas,32
2010,11,11/1/2010,8.24,kansas,33
2010,11,11/1/2010,9.02,utah,34
2010,11,11/1/2010,9.61,nevada,35
2010,11,11/1/2010,3.73,new mexico,36
2010,11,11/1/2010,4.71,west virginia,37
2010,11,11/1/2010,4.12,nebraska,38
2010,11,11/1/2010,5.1,idaho,39
2010,11,11/1/2010,10,hawaii,40
2010,11,11/1/2010,5.29,maine,41
2010,11,11/1/2010,5.69,new hampshire,42
2010,11,11/1/2010,1.18,rhode island,43
2010,11,11/1/2010,7.06,montana,44
2010,11,11/1/2010,1.57,delaware,45
2010,11,11/1/2010,0.59,south dakota,46
2010,11,11/1/2010,8.04,alaska,47
2010,11,11/1/2010,9.22,north dakota,48
2010,11,11/1/2010,2.16,vermont,49
2010,11,11/1/2010,8.82,district of columbia,50
2010,11,11/1/2010,8.43,wyoming,51
2010,12,12/1/2010,9.8,california,1
2010,12,12/1/2010,5.29,texas,2
2010,12,12/1/2010,0.2,new york,3
2010,12,12/1/2010,6.86,florida,4
2010,12,12/1/2010,1.57,illinois,5
2010,12,12/1/2010,1.96,pennsylvania,6
2010,12,12/1/2010,4.31,ohio,7
2010,12,12/1/2010,7.45,michigan,8
2010,12,12/1/2010,2.55,georgia,9
2010,12,12/1/2010,2.75,north carolina,10
2010,12,12/1/2010,0.39,new jersey,11
2010,12,12/1/2010,8.63,virginia,12
2010,12,12/1/2010,4.9,washington,13
2010,12,12/1/2010,4.51,massachusetts,14
2010,12,12/1/2010,3.14,indiana,15
2010,12,12/1/2010,8.24,arizona,16
2010,12,12/1/2010,5.1,tennessee,17
2010,12,12/1/2010,3.33,missouri,18
2010,12,12/1/2010,2.35,maryland,19
2010,12,12/1/2010,1.37,wisconsin,20
2010,12,12/1/2010,0.59,minnesota,21
2010,12,12/1/2010,6.27,colorado,22
2010,12,12/1/2010,5.69,alabama,23
2010,12,12/1/2010,2.16,south carolina,24
2010,12,12/1/2010,9.22,louisiana,25
2010,12,12/1/2010,6.47,kentucky,26
2010,12,12/1/2010,3.73,oregon,27
2010,12,12/1/2010,7.25,oklahoma,28
2010,12,12/1/2010,2.94,connecticut,29
2010,12,12/1/2010,7.06,iowa,30
2010,12,12/1/2010,3.92,mississippi,31
2010,12,12/1/2010,6.08,arkansas,32
2010,12,12/1/2010,8.04,kansas,33
2010,12,12/1/2010,8.82,utah,34
2010,12,12/1/2010,9.61,nevada,35
2010,12,12/1/2010,3.53,new mexico,36
2010,12,12/1/2010,4.12,west virginia,37
2010,12,12/1/2010,4.71,nebraska,38
2010,12,12/1/2010,6.67,idaho,39
2010,12,12/1/2010,10,hawaii,40
2010,12,12/1/2010,5.49,maine,41
2010,12,12/1/2010,5.88,new hampshire,42
2010,12,12/1/2010,1.18,rhode island,43
2010,12,12/1/2010,7.65,montana,44
2010,12,12/1/2010,1.76,delaware,45
2010,12,12/1/2010,0.78,south dakota,46
2010,12,12/1/2010,7.84,alaska,47
2010,12,12/1/2010,9.41,north dakota,48
2010,12,12/1/2010,0.98,vermont,49
2010,12,12/1/2010,9.02,district of columbia,50
2010,12,12/1/2010,8.43,wyoming,51
2011,1,1/1/2011,9.8,california,1
2011,1,1/1/2011,4.9,texas,2
2011,1,1/1/2011,0.2,new york,3
2011,1,1/1/2011,6.67,florida,4
2011,1,1/1/2011,1.18,illinois,5
2011,1,1/1/2011,2.16,pennsylvania,6
2011,1,1/1/2011,4.31,ohio,7
2011,1,1/1/2011,7.65,michigan,8
2011,1,1/1/2011,2.35,georgia,9
2011,1,1/1/2011,2.55,north carolina,10
2011,1,1/1/2011,0.39,new jersey,11
2011,1,1/1/2011,8.63,virginia,12
2011,1,1/1/2011,5.1,washington,13
2011,1,1/1/2011,4.71,massachusetts,14
2011,1,1/1/2011,2.94,indiana,15
2011,1,1/1/2011,8.04,arizona,16
2011,1,1/1/2011,4.51,tennessee,17
2011,1,1/1/2011,3.14,missouri,18
2011,1,1/1/2011,2.75,maryland,19
2011,1,1/1/2011,1.76,wisconsin,20
2011,1,1/1/2011,0.78,minnesota,21
2011,1,1/1/2011,6.47,colorado,22
2011,1,1/1/2011,3.73,alabama,23
2011,1,1/1/2011,1.96,south carolina,24
2011,1,1/1/2011,8.82,louisiana,25
2011,1,1/1/2011,6.27,kentucky,26
2011,1,1/1/2011,4.12,oregon,27
2011,1,1/1/2011,7.25,oklahoma,28
2011,1,1/1/2011,3.33,connecticut,29
2011,1,1/1/2011,7.45,iowa,30
2011,1,1/1/2011,5.49,mississippi,31
2011,1,1/1/2011,5.69,arkansas,32
2011,1,1/1/2011,6.86,kansas,33
2011,1,1/1/2011,9.02,utah,34
2011,1,1/1/2011,9.61,nevada,35
2011,1,1/1/2011,3.92,new mexico,36
2011,1,1/1/2011,3.53,west virginia,37
2011,1,1/1/2011,5.29,nebraska,38
2011,1,1/1/2011,8.24,idaho,39
2011,1,1/1/2011,10,hawaii,40
2011,1,1/1/2011,5.88,maine,41
2011,1,1/1/2011,6.08,new hampshire,42
2011,1,1/1/2011,1.37,rhode island,43
2011,1,1/1/2011,7.06,montana,44
2011,1,1/1/2011,1.57,delaware,45
2011,1,1/1/2011,0.59,south dakota,46
2011,1,1/1/2011,7.84,alaska,47
2011,1,1/1/2011,9.22,north dakota,48
2011,1,1/1/2011,0.98,vermont,49
2011,1,1/1/2011,9.41,district of columbia,50
2011,1,1/1/2011,8.43,wyoming,51
2011,10,10/1/2011,9.22,california,1
2011,10,10/1/2011,5.88,texas,2
2011,10,10/1/2011,0.2,new york,3
2011,10,10/1/2011,6.47,florida,4
2011,10,10/1/2011,2.16,illinois,5
2011,10,10/1/2011,1.76,pennsylvania,6
2011,10,10/1/2011,4.51,ohio,7
2011,10,10/1/2011,7.06,michigan,8
2011,10,10/1/2011,3.53,georgia,9
2011,10,10/1/2011,2.55,north carolina,10
2011,10,10/1/2011,0.39,new jersey,11
2011,10,10/1/2011,7.84,virginia,12
2011,10,10/1/2011,6.86,washington,13
