year,month,bsi,RegionName,StateName,MSA
2010,11,2.58,Northeast Dallas,TX,Dallas-Fort Worth-Arlington
2010,11,5.81,Far North,TX,Dallas-Fort Worth-Arlington
2010,11,4.52,Southeast Dallas,TX,Dallas-Fort Worth-Arlington
2010,11,7.5,East Side,TX,El Paso
2010,11,8.57,South Side,TX,Corpus Christi
2010,11,0.48,Alief,TX,Houston-The Woodlands-Sugar Land
2010,11,3.55,Southwest Dallas,TX,Dallas-Fort Worth-Arlington
2010,11,10,Central City,TX,Corpus Christi
2010,11,5.48,East,TX,Dallas-Fort Worth-Arlington
2010,11,4.19,Southeast,TX,Dallas-Fort Worth-Arlington
2010,11,8.75,Northwest,TX,El Paso
2010,11,1.94,Preston Hollow,TX,Dallas-Fort Worth-Arlington
2010,11,8.57,Sharpstown,TX,Houston-The Woodlands-Sugar Land
2010,11,3.23,West,TX,Dallas-Fort Worth-Arlington
2010,11,3.57,Eldridge - West Oaks,TX,Houston-The Woodlands-Sugar Land
2010,11,5.95,Clear Lake,TX,Houston-The Woodlands-Sugar Land
2010,11,1.67,Central Southwest,TX,Houston-The Woodlands-Sugar Land
2010,11,3.75,Northeast,TX,El Paso
2010,11,3.33,South Belt - Ellington,TX,Houston-The Woodlands-Sugar Land
2010,11,2.38,Greater Fondren Southwest,TX,Houston-The Woodlands-Sugar Land
2010,11,9.68,Cedar Crest,TX,Dallas-Fort Worth-Arlington
2010,11,2.86,Kingwood,TX,Houston-The Woodlands-Sugar Land
2010,11,5.16,Lake Highlands,TX,Dallas-Fort Worth-Arlington
2010,11,4.05,Greater Uptown,TX,Houston-The Woodlands-Sugar Land
2010,11,7.14,Golfcrest - Bellfort - Reveille,TX,Houston-The Woodlands-Sugar Land
2010,11,1.61,Oak Lawn,TX,Dallas-Fort Worth-Arlington
2010,11,3.87,Southwest,TX,Dallas-Fort Worth-Arlington
2010,11,5.24,Woodlake - Briarmeadow,TX,Houston-The Woodlands-Sugar Land
2010,11,7.86,Memorial,TX,Houston-The Woodlands-Sugar Land
2010,11,6.19,Briarforest Area,TX,Houston-The Woodlands-Sugar Land
2010,11,2.62,Oak Forest - Garden Oaks,TX,Houston-The Woodlands-Sugar Land
2010,11,1.29,North,TX,Dallas-Fort Worth-Arlington
2010,11,7.14,Bay Area,TX,Corpus Christi
2010,11,1.43,Greater Heights,TX,Houston-The Woodlands-Sugar Land
2010,11,0.65,North Dallas,TX,Dallas-Fort Worth-Arlington
2010,11,5,Lower Valley,TX,El Paso
2010,11,0.95,Greater Inwood,TX,Houston-The Woodlands-Sugar Land
2010,11,7.74,Wolf Creek,TX,Dallas-Fort Worth-Arlington
2010,11,2.9,M Streets,TX,Dallas-Fort Worth-Arlington
2010,11,9.52,Fort Bend - Houston,TX,Houston-The Woodlands-Sugar Land
2010,11,9.76,Spring Branch West,TX,Houston-The Woodlands-Sugar Land
2010,11,0.97,Winnetka Heights,TX,Dallas-Fort Worth-Arlington
2010,11,6.9,Neartown - Montrose,TX,Houston-The Woodlands-Sugar Land
2010,11,1.19,Westchase,TX,Houston-The Woodlands-Sugar Land
2010,11,4.52,Washington Avenue Coalition - Memorial Park,TX,Houston-The Woodlands-Sugar Land
2010,11,6.25,Las Tierras,TX,El Paso
2010,11,10,South Dallas,TX,Dallas-Fort Worth-Arlington
2010,11,10,Spring Branch Central,TX,Houston-The Woodlands-Sugar Land
2010,11,8.81,Spring Branch East,TX,Houston-The Woodlands-Sugar Land
2010,11,7.1,Valley Ranch,TX,Dallas-Fort Worth-Arlington
2010,11,8.39,Cottonwood,TX,Dallas-Fort Worth-Arlington
2010,11,7.62,Braeswood Place,TX,Houston-The Woodlands-Sugar Land
2010,11,3.1,Meyerland Area,TX,Houston-The Woodlands-Sugar Land
2010,11,5,Greenway - Upper Kirby Area,TX,Houston-The Woodlands-Sugar Land
2010,11,8.33,Westbury,TX,Houston-The Woodlands-Sugar Land
2010,11,9.03,Summerfields,TX,Dallas-Fort Worth-Arlington
2010,11,0.32,Freeport-Hackberry,TX,Dallas-Fort Worth-Arlington
2010,11,1.25,Cielo Vista,TX,El Paso
2010,11,0.24,Macgregor,TX,Houston-The Woodlands-Sugar Land
2010,11,4.29,Alden Bridge,TX,Houston-The Woodlands-Sugar Land
2010,11,2.86,Flour Bluff,TX,Corpus Christi
2010,11,5.48,Astrodome Area,TX,Houston-The Woodlands-Sugar Land
2010,11,7.38,Sterling Ridge,TX,Houston-The Woodlands-Sugar Land
2010,11,6.45,Wedgwood,TX,Dallas-Fort Worth-Arlington
2010,11,4.76,University Place,TX,Houston-The Woodlands-Sugar Land
2010,11,0.71,Lake Houston,TX,Houston-The Woodlands-Sugar Land
2010,11,2.14,Grogan's Mill,TX,Houston-The Woodlands-Sugar Land
2010,11,10,West Oak Hill,TX,Austin-Round Rock
2010,11,4.29,Northwest,TX,Corpus Christi
2010,11,8.71,Bluffview,TX,Dallas-Fort Worth-Arlington
2010,11,3.81,Afton Oaks - River Oaks Area,TX,Houston-The Woodlands-Sugar Land
2010,11,6.77,Villages of Woodland Springs,TX,Dallas-Fort Worth-Arlington
2010,11,9.05,Willow Meadows - Willowbend Area,TX,Houston-The Woodlands-Sugar Land
2010,11,10,Album Park,TX,El Paso
2010,11,6.43,Lazy Brook - Timbergrove,TX,Houston-The Woodlands-Sugar Land
2010,11,6.67,Cochran's Crossing,TX,Houston-The Woodlands-Sugar Land
2010,11,8.1,Panther Creek,TX,Houston-The Woodlands-Sugar Land
2010,11,8.06,Las Colinas,TX,Dallas-Fort Worth-Arlington
2010,11,1.43,Calallen,TX,Corpus Christi
2010,11,2.26,Park Glen,TX,Dallas-Fort Worth-Arlington
2010,11,5.71,Downtown,TX,Houston-The Woodlands-Sugar Land
2010,11,7.42,Heritage,TX,Dallas-Fort Worth-Arlington
2010,11,2.5,North Hills,TX,El Paso
2010,11,2.5,Westwood Richland,TX,Abilene
2010,11,1.9,Midtown,TX,Houston-The Woodlands-Sugar Land
2010,11,9.29,Creekside Park,TX,Houston-The Woodlands-Sugar Land
2010,11,6.67,Sun City,TX,Austin-Round Rock
2010,11,7.5,Chimney Rock,TX,Abilene
2010,11,5,River Oaks-Brookhollow,TX,Abilene
2010,11,5.71,Mustang-Padre Island,TX,Corpus Christi
2010,11,10,North Lake Waco,TX,Waco
2010,11,9.35,Arlington Heights,TX,Dallas-Fort Worth-Arlington
2010,11,10,Far Southside,TX,Abilene
2010,11,3.33,Terravista,TX,Austin-Round Rock
2010,11,4.84,Sendera Ranch,TX,Dallas-Fort Worth-Arlington
2010,11,6.13,Lake Country,TX,Dallas-Fort Worth-Arlington
2010,12,2.9,Northeast Dallas,TX,Dallas-Fort Worth-Arlington
2010,12,6.13,Far North,TX,Dallas-Fort Worth-Arlington
2010,12,3.55,Southeast Dallas,TX,Dallas-Fort Worth-Arlington
2010,12,7.5,East Side,TX,El Paso
2010,12,8.57,South Side,TX,Corpus Christi
2010,12,0.48,Alief,TX,Houston-The Woodlands-Sugar Land
