date,bsi,year,month,RegionName,SizeRank
11/1/2010,1.51,2010,11,california,1
11/1/2010,1.32,2010,11,texas,2
11/1/2010,2.64,2010,11,new york,3
11/1/2010,1.42,2010,11,florida,4
11/1/2010,1.51,2010,11,illinois,5
11/1/2010,2.08,2010,11,pennsylvania,6
11/1/2010,1.89,2010,11,ohio,7
11/1/2010,1.79,2010,11,michigan,8
11/1/2010,1.13,2010,11,georgia,9
11/1/2010,1.79,2010,11,north carolina,10
11/1/2010,2.83,2010,11,new jersey,11
11/1/2010,1.42,2010,11,virginia,12
11/1/2010,0.09,2010,11,washington,13
11/1/2010,1.42,2010,11,massachusetts,14
11/1/2010,1.7,2010,11,indiana,15
11/1/2010,0.09,2010,11,arizona,16
11/1/2010,1.79,2010,11,tennessee,17
11/1/2010,0.47,2010,11,missouri,18
11/1/2010,1.32,2010,11,maryland,19
11/1/2010,0.09,2010,11,wisconsin,20
11/1/2010,0.09,2010,11,minnesota,21
11/1/2010,0.38,2010,11,colorado,22
11/1/2010,4.34,2010,11,alabama,23
11/1/2010,2.08,2010,11,south carolina,24
11/1/2010,6.51,2010,11,louisiana,25
11/1/2010,1.32,2010,11,kentucky,26
11/1/2010,0.57,2010,11,oregon,27
11/1/2010,1.79,2010,11,oklahoma,28
11/1/2010,3.11,2010,11,connecticut,29
11/1/2010,2.55,2010,11,iowa,30
11/1/2010,1.23,2010,11,mississippi,31
11/1/2010,2.45,2010,11,arkansas,32
11/1/2010,2.45,2010,11,kansas,33
11/1/2010,1.04,2010,11,utah,34
11/1/2010,1.51,2010,11,nevada,35
11/1/2010,1.04,2010,11,new mexico,36
11/1/2010,1.13,2010,11,west virginia,37
11/1/2010,0.75,2010,11,nebraska,38
11/1/2010,0.09,2010,11,idaho,39
11/1/2010,6.42,2010,11,hawaii,40
11/1/2010,4.15,2010,11,maine,41
11/1/2010,2.64,2010,11,new hampshire,42
11/1/2010,1.6,2010,11,rhode island,43
11/1/2010,0.66,2010,11,montana,44
11/1/2010,1.51,2010,11,delaware,45
11/1/2010,0.09,2010,11,south dakota,46
11/1/2010,1.04,2010,11,alaska,47
11/1/2010,4.72,2010,11,north dakota,48
11/1/2010,5.66,2010,11,vermont,49
11/1/2010,0.47,2010,11,district of columbia,50
11/1/2010,0.47,2010,11,wyoming,51
12/1/2010,1.32,2010,12,california,1
12/1/2010,1.13,2010,12,texas,2
12/1/2010,2.83,2010,12,new york,3
12/1/2010,1.13,2010,12,florida,4
12/1/2010,1.32,2010,12,illinois,5
12/1/2010,1.89,2010,12,pennsylvania,6
12/1/2010,1.42,2010,12,ohio,7
12/1/2010,1.6,2010,12,michigan,8
12/1/2010,0.94,2010,12,georgia,9
12/1/2010,1.7,2010,12,north carolina,10
12/1/2010,2.74,2010,12,new jersey,11
12/1/2010,1.51,2010,12,virginia,12
12/1/2010,0.19,2010,12,washington,13
12/1/2010,1.51,2010,12,massachusetts,14
12/1/2010,1.6,2010,12,indiana,15
12/1/2010,0.19,2010,12,arizona,16
12/1/2010,1.6,2010,12,tennessee,17
12/1/2010,0.57,2010,12,missouri,18
12/1/2010,1.6,2010,12,maryland,19
12/1/2010,0.19,2010,12,wisconsin,20
12/1/2010,0.19,2010,12,minnesota,21
12/1/2010,0.57,2010,12,colorado,22
12/1/2010,2.36,2010,12,alabama,23
12/1/2010,1.6,2010,12,south carolina,24
12/1/2010,3.77,2010,12,louisiana,25
12/1/2010,1.51,2010,12,kentucky,26
12/1/2010,0.75,2010,12,oregon,27
12/1/2010,1.7,2010,12,oklahoma,28
12/1/2010,4.34,2010,12,connecticut,29
12/1/2010,2.74,2010,12,iowa,30
12/1/2010,1.42,2010,12,mississippi,31
12/1/2010,1.51,2010,12,arkansas,32
12/1/2010,2.08,2010,12,kansas,33
12/1/2010,0.85,2010,12,utah,34
12/1/2010,1.42,2010,12,nevada,35
12/1/2010,1.13,2010,12,new mexico,36
12/1/2010,1.04,2010,12,west virginia,37
12/1/2010,0.94,2010,12,nebraska,38
12/1/2010,0.19,2010,12,idaho,39
12/1/2010,7.26,2010,12,hawaii,40
12/1/2010,4.72,2010,12,maine,41
12/1/2010,2.92,2010,12,new hampshire,42
12/1/2010,1.7,2010,12,rhode island,43
12/1/2010,0.85,2010,12,montana,44
12/1/2010,1.42,2010,12,delaware,45
12/1/2010,0.28,2010,12,south dakota,46
12/1/2010,0.94,2010,12,alaska,47
12/1/2010,4.62,2010,12,north dakota,48
12/1/2010,3.77,2010,12,vermont,49
12/1/2010,0.75,2010,12,district of columbia,50
12/1/2010,0.28,2010,12,wyoming,51
1/1/2011,1.13,2011,1,california,1
1/1/2011,0.94,2011,1,texas,2
1/1/2011,3.02,2011,1,new york,3
1/1/2011,1.04,2011,1,florida,4
1/1/2011,1.04,2011,1,illinois,5
1/1/2011,1.79,2011,1,pennsylvania,6
1/1/2011,1.04,2011,1,ohio,7
1/1/2011,1.51,2011,1,michigan,8
1/1/2011,0.75,2011,1,georgia,9
1/1/2011,1.51,2011,1,north carolina,10
1/1/2011,2.64,2011,1,new jersey,11
1/1/2011,1.32,2011,1,virginia,12
1/1/2011,0.28,2011,1,washington,13
1/1/2011,1.6,2011,1,massachusetts,14
1/1/2011,1.42,2011,1,indiana,15
1/1/2011,0.28,2011,1,arizona,16
1/1/2011,1.32,2011,1,tennessee,17
1/1/2011,0.66,2011,1,missouri,18
1/1/2011,1.79,2011,1,maryland,19
1/1/2011,0.57,2011,1,wisconsin,20
1/1/2011,0.28,2011,1,minnesota,21
1/1/2011,0.75,2011,1,colorado,22
1/1/2011,1.23,2011,1,alabama,23
1/1/2011,1.32,2011,1,south carolina,24
1/1/2011,2.92,2011,1,louisiana,25
1/1/2011,1.23,2011,1,kentucky,26
1/1/2011,0.85,2011,1,oregon,27
1/1/2011,1.6,2011,1,oklahoma,28
1/1/2011,5.47,2011,1,connecticut,29
1/1/2011,2.83,2011,1,iowa,30
1/1/2011,2.08,2011,1,mississippi,31
1/1/2011,0.94,2011,1,arkansas,32
1/1/2011,1.7,2011,1,kansas,33
1/1/2011,0.94,2011,1,utah,34
1/1/2011,1.23,2011,1,nevada,35
1/1/2011,1.42,2011,1,new mexico,36
1/1/2011,0.38,2011,1,west virginia,37
1/1/2011,1.42,2011,1,nebraska,38
1/1/2011,0.28,2011,1,idaho,39
1/1/2011,6.51,2011,1,hawaii,40
1/1/2011,4.81,2011,1,maine,41
1/1/2011,2.83,2011,1,new hampshire,42
1/1/2011,1.79,2011,1,rhode island,43
1/1/2011,0.47,2011,1,montana,44
1/1/2011,1.23,2011,1,delaware,45
1/1/2011,0.19,2011,1,south dakota,46
1/1/2011,0.85,2011,1,alaska,47
1/1/2011,3.02,2011,1,north dakota,48
1/1/2011,2.74,2011,1,vermont,49
1/1/2011,1.13,2011,1,district of columbia,50
1/1/2011,0.19,2011,1,wyoming,51
10/1/2011,0.66,2011,10,california,1
10/1/2011,0.85,2011,10,texas,2
10/1/2011,0.94,2011,10,new york,3
