year,month,date,days,SizeRank,RegionName
2010,1,1/1/2010,105,1,california
2010,1,1/1/2010,122,2,texas
2010,1,1/1/2010,189,3,new york
2010,1,1/1/2010,159,4,florida
2010,1,1/1/2010,174,5,illinois
2010,1,1/1/2010,139,6,pennsylvania
2010,1,1/1/2010,134,7,ohio
2010,1,1/1/2010,136,8,michigan
2010,1,1/1/2010,161,9,georgia
2010,1,1/1/2010,167,10,north carolina
2010,1,1/1/2010,174,11,new jersey
2010,1,1/1/2010,127,12,virginia
2010,1,1/1/2010,127,13,washington
2010,1,1/1/2010,146,14,massachusetts
2010,1,1/1/2010,131,15,indiana
2010,1,1/1/2010,111,16,arizona
2010,1,1/1/2010,156,17,tennessee
2010,1,1/1/2010,109,18,missouri
2010,1,1/1/2010,165,19,maryland
2010,1,1/1/2010,167,20,wisconsin
2010,1,1/1/2010,152,21,minnesota
2010,1,1/1/2010,138,22,colorado
2010,1,1/1/2010,173,23,alabama
2010,1,1/1/2010,175,24,south carolina
2010,1,1/1/2010,145,25,louisiana
2010,1,1/1/2010,116,26,kentucky
2010,1,1/1/2010,140,27,oregon
2010,1,1/1/2010,125,28,oklahoma
2010,1,1/1/2010,153,29,connecticut
2010,1,1/1/2010,145.5,30,iowa
2010,1,1/1/2010,110,31,mississippi
2010,1,1/1/2010,121,32,arkansas
2010,1,1/1/2010,114.5,33,kansas
2010,1,1/1/2010,141,34,utah
2010,1,1/1/2010,116,35,nevada
2010,1,1/1/2010,148,36,new mexico
2010,1,1/1/2010,161,37,west virginia
2010,1,1/1/2010,123,38,nebraska
2010,1,1/1/2010,139,39,idaho
2010,1,1/1/2010,137,40,hawaii
2010,1,1/1/2010,145,41,maine
2010,1,1/1/2010,118,42,new hampshire
2010,1,1/1/2010,134,43,rhode island
2010,1,1/1/2010,126.5,44,montana
2010,1,1/1/2010,139,45,delaware
2010,1,1/1/2010,,46,south dakota
2010,1,1/1/2010,130,47,alaska
2010,1,1/1/2010,118,48,north dakota
2010,1,1/1/2010,193,49,vermont
2010,1,1/1/2010,125,50,district of columbia
2010,1,1/1/2010,83.5,51,wyoming
2010,2,2/1/2010,111,1,california
2010,2,2/1/2010,126,2,texas
2010,2,2/1/2010,195,3,new york
2010,2,2/1/2010,152,4,florida
2010,2,2/1/2010,176,5,illinois
2010,2,2/1/2010,149,6,pennsylvania
2010,2,2/1/2010,147,7,ohio
2010,2,2/1/2010,139,8,michigan
2010,2,2/1/2010,159,9,georgia
2010,2,2/1/2010,169,10,north carolina
2010,2,2/1/2010,179.5,11,new jersey
2010,2,2/1/2010,130,12,virginia
2010,2,2/1/2010,139,13,washington
2010,2,2/1/2010,159,14,massachusetts
2010,2,2/1/2010,128,15,indiana
2010,2,2/1/2010,118,16,arizona
2010,2,2/1/2010,144,17,tennessee
2010,2,2/1/2010,122,18,missouri
2010,2,2/1/2010,176,19,maryland
2010,2,2/1/2010,169,20,wisconsin
2010,2,2/1/2010,152,21,minnesota
2010,2,2/1/2010,143.5,22,colorado
2010,2,2/1/2010,155,23,alabama
2010,2,2/1/2010,164,24,south carolina
2010,2,2/1/2010,132,25,louisiana
2010,2,2/1/2010,125,26,kentucky
2010,2,2/1/2010,145.5,27,oregon
2010,2,2/1/2010,123,28,oklahoma
2010,2,2/1/2010,150,29,connecticut
2010,2,2/1/2010,146,30,iowa
2010,2,2/1/2010,103,31,mississippi
2010,2,2/1/2010,129,32,arkansas
2010,2,2/1/2010,115,33,kansas
2010,2,2/1/2010,148,34,utah
2010,2,2/1/2010,122,35,nevada
2010,2,2/1/2010,149,36,new mexico
2010,2,2/1/2010,193,37,west virginia
2010,2,2/1/2010,132,38,nebraska
2010,2,2/1/2010,153,39,idaho
2010,2,2/1/2010,151,40,hawaii
2010,2,2/1/2010,157,41,maine
2010,2,2/1/2010,141,42,new hampshire
2010,2,2/1/2010,160,43,rhode island
2010,2,2/1/2010,131,44,montana
2010,2,2/1/2010,159,45,delaware
2010,2,2/1/2010,,46,south dakota
2010,2,2/1/2010,150,47,alaska
2010,2,2/1/2010,125,48,north dakota
2010,2,2/1/2010,227,49,vermont
2010,2,2/1/2010,146,50,district of columbia
2010,2,2/1/2010,89,51,wyoming
2010,3,3/1/2010,104,1,california
2010,3,3/1/2010,124,2,texas
2010,3,3/1/2010,193,3,new york
2010,3,3/1/2010,151,4,florida
2010,3,3/1/2010,172,5,illinois
2010,3,3/1/2010,151,6,pennsylvania
2010,3,3/1/2010,149,7,ohio
2010,3,3/1/2010,138,8,michigan
2010,3,3/1/2010,159,9,georgia
2010,3,3/1/2010,166,10,north carolina
2010,3,3/1/2010,181,11,new jersey
2010,3,3/1/2010,135,12,virginia
2010,3,3/1/2010,141,13,washington
2010,3,3/1/2010,153,14,massachusetts
2010,3,3/1/2010,132,15,indiana
2010,3,3/1/2010,121,16,arizona
2010,3,3/1/2010,152,17,tennessee
2010,3,3/1/2010,126,18,missouri
2010,3,3/1/2010,180,19,maryland
2010,3,3/1/2010,172,20,wisconsin
2010,3,3/1/2010,152,21,minnesota
2010,3,3/1/2010,137,22,colorado
2010,3,3/1/2010,167.5,23,alabama
2010,3,3/1/2010,174,24,south carolina
2010,3,3/1/2010,145,25,louisiana
2010,3,3/1/2010,138.5,26,kentucky
2010,3,3/1/2010,157,27,oregon
2010,3,3/1/2010,129,28,oklahoma
2010,3,3/1/2010,171,29,connecticut
2010,3,3/1/2010,158,30,iowa
2010,3,3/1/2010,117,31,mississippi
2010,3,3/1/2010,138,32,arkansas
2010,3,3/1/2010,126.5,33,kansas
2010,3,3/1/2010,136,34,utah
2010,3,3/1/2010,126,35,nevada
2010,3,3/1/2010,151,36,new mexico
2010,3,3/1/2010,162,37,west virginia
2010,3,3/1/2010,144,38,nebraska
2010,3,3/1/2010,146,39,idaho
2010,3,3/1/2010,134,40,hawaii
2010,3,3/1/2010,140,41,maine
2010,3,3/1/2010,136,42,new hampshire
2010,3,3/1/2010,157,43,rhode island
2010,3,3/1/2010,124,44,montana
2010,3,3/1/2010,158,45,delaware
2010,3,3/1/2010,,46,south dakota
2010,3,3/1/2010,158,47,alaska
2010,3,3/1/2010,123.5,48,north dakota
2010,3,3/1/2010,203,49,vermont
2010,3,3/1/2010,140,50,district of columbia
2010,3,3/1/2010,58,51,wyoming
2010,4,4/1/2010,98,1,california
2010,4,4/1/2010,112,2,texas
2010,4,4/1/2010,186,3,new york
2010,4,4/1/2010,155,4,florida
2010,4,4/1/2010,180,5,illinois
2010,4,4/1/2010,151,6,pennsylvania
2010,4,4/1/2010,139,7,ohio
2010,4,4/1/2010,140,8,michigan
2010,4,4/1/2010,164,9,georgia
2010,4,4/1/2010,173,10,north carolina
2010,4,4/1/2010,188,11,new jersey
2010,4,4/1/2010,120,12,virginia
2010,4,4/1/2010,130,13,washington
2010,4,4/1/2010,152,14,massachusetts
2010,4,4/1/2010,132,15,indiana
2010,4,4/1/2010,119,16,arizona
2010,4,4/1/2010,153,17,tennessee
2010,4,4/1/2010,122,18,missouri
2010,4,4/1/2010,165,19,maryland
2010,4,4/1/2010,172,20,wisconsin
2010,4,4/1/2010,155,21,minnesota
2010,4,4/1/2010,123,22,colorado
2010,4,4/1/2010,175.5,23,alabama
2010,4,4/1/2010,166,24,south carolina
2010,4,4/1/2010,153,25,louisiana
2010,4,4/1/2010,141,26,kentucky
2010,4,4/1/2010,147,27,oregon
2010,4,4/1/2010,127,28,oklahoma
2010,4,4/1/2010,159,29,connecticut
2010,4,4/1/2010,140,30,iowa
2010,4,4/1/2010,134,31,mississippi
2010,4,4/1/2010,142,32,arkansas
2010,4,4/1/2010,106,33,kansas
2010,4,4/1/2010,133,34,utah
2010,4,4/1/2010,113,35,nevada
2010,4,4/1/2010,136,36,new mexico
2010,4,4/1/2010,181,37,west virginia
2010,4,4/1/2010,132,38,nebraska
2010,4,4/1/2010,138,39,idaho
2010,4,4/1/2010,152,40,hawaii
2010,4,4/1/2010,191,41,maine
2010,4,4/1/2010,168,42,new hampshire
2010,4,4/1/2010,158,43,rhode island
2010,4,4/1/2010,119,44,montana
2010,4,4/1/2010,137.5,45,delaware
2010,4,4/1/2010,,46,south dakota
2010,4,4/1/2010,110.5,47,alaska
2010,4,4/1/2010,150,48,north dakota
2010,4,4/1/2010,263,49,vermont
2010,4,4/1/2010,140,50,district of columbia
2010,4,4/1/2010,87,51,wyoming
2010,5,5/1/2010,87,1,california
2010,5,5/1/2010,98,2,texas
2010,5,5/1/2010,183,3,new york
2010,5,5/1/2010,148,4,florida
2010,5,5/1/2010,164,5,illinois
2010,5,5/1/2010,126,6,pennsylvania
2010,5,5/1/2010,116,7,ohio
2010,5,5/1/2010,127,8,michigan
2010,5,5/1/2010,153,9,georgia
2010,5,5/1/2010,140,10,north carolina
2010,5,5/1/2010,181,11,new jersey
2010,5,5/1/2010,102,12,virginia
2010,5,5/1/2010,108,13,washington
2010,5,5/1/2010,117,14,massachusetts
2010,5,5/1/2010,119,15,indiana
2010,5,5/1/2010,109,16,arizona
2010,5,5/1/2010,132,17,tennessee
2010,5,5/1/2010,106,18,missouri
2010,5,5/1/2010,159,19,maryland
2010,5,5/1/2010,162,20,wisconsin
2010,5,5/1/2010,131,21,minnesota
2010,5,5/1/2010,104,22,colorado
2010,5,5/1/2010,158.5,23,alabama
2010,5,5/1/2010,138,24,south carolina
2010,5,5/1/2010,116,25,louisiana
2010,5,5/1/2010,115,26,kentucky
2010,5,5/1/2010,118,27,oregon
2010,5,5/1/2010,106,28,oklahoma
2010,5,5/1/2010,143,29,connecticut
2010,5,5/1/2010,108,30,iowa
2010,5,5/1/2010,115,31,mississippi
2010,5,5/1/2010,130,32,arkansas
2010,5,5/1/2010,90,33,kansas
2010,5,5/1/2010,126,34,utah
2010,5,5/1/2010,109,35,nevada
2010,5,5/1/2010,124,36,new mexico
2010,5,5/1/2010,148,37,west virginia
2010,5,5/1/2010,122,38,nebraska
2010,5,5/1/2010,125,39,idaho
2010,5,5/1/2010,96,40,hawaii
2010,5,5/1/2010,151,41,maine
2010,5,5/1/2010,133,42,new hampshire
2010,5,5/1/2010,124,43,rhode island
2010,5,5/1/2010,117,44,montana
2010,5,5/1/2010,122,45,delaware
2010,5,5/1/2010,,46,south dakota
2010,5,5/1/2010,96,47,alaska
2010,5,5/1/2010,143.5,48,north dakota
2010,5,5/1/2010,223,49,vermont
2010,5,5/1/2010,119,50,district of columbia
2010,5,5/1/2010,89,51,wyoming
2010,6,6/1/2010,89,1,california
2010,6,6/1/2010,100,2,texas
2010,6,6/1/2010,136,3,new york
2010,6,6/1/2010,130,4,florida
2010,6,6/1/2010,129,5,illinois
2010,6,6/1/2010,112,6,pennsylvania
2010,6,6/1/2010,107,7,ohio
2010,6,6/1/2010,115,8,michigan
2010,6,6/1/2010,124,9,georgia
2010,6,6/1/2010,124,10,north carolina
2010,6,6/1/2010,142,11,new jersey
2010,6,6/1/2010,96,12,virginia
2010,6,6/1/2010,103,13,washington
