date,RegionName,med_rental_price,SizeRank
2010-01,California,,1
2010-01,Texas,,2
2010-01,Florida,,3
2010-01,Illinois,,4
2010-01,Pennsylvania,,5
2010-01,Ohio,,6
2010-01,Michigan,,7
2010-01,Georgia,1099.5,8
2010-01,North Carolina,,9
2010-01,New Jersey,,10
2010-01,Virginia,,11
2010-01,Washington,,12
2010-01,Massachusetts,,13
2010-01,Indiana,,14
2010-01,Arizona,,15
2010-01,Tennessee,,16
2010-01,Missouri,,17
2010-01,Maryland,,18
2010-01,Wisconsin,,19
2010-01,Minnesota,,20
2010-01,Colorado,,21
2010-01,Alabama,,22
2010-01,South Carolina,,23
2010-01,Louisiana,,24
2010-01,Kentucky,,25
2010-01,Oregon,,26
2010-01,Oklahoma,,27
2010-01,Connecticut,,28
2010-01,Iowa,,29
2010-01,Mississippi,,30
2010-01,Arkansas,,31
2010-01,Kansas,,32
2010-01,Utah,,33
2010-01,Nevada,,34
2010-01,New Mexico,,35
2010-01,West Virginia,,36
2010-01,Nebraska,,37
2010-01,Idaho,,38
2010-01,Hawaii,,39
2010-01,Maine,,40
2010-01,New Hampshire,,41
2010-01,Rhode Island,,42
2010-01,Montana,,43
2010-01,Delaware,,44
2010-01,South Dakota,,45
2010-01,Alaska,,46
2010-01,North Dakota,,47
2010-01,District of Columbia,,48
2010-01,Wyoming,,49
2010-02,California,,1
2010-02,Texas,,2
2010-02,Florida,,3
2010-02,Illinois,1635,4
2010-02,Pennsylvania,1400,5
2010-02,Ohio,,6
2010-02,Michigan,1250,7
2010-02,Georgia,1150,8
2010-02,North Carolina,1050,9
2010-02,New Jersey,1650,10
2010-02,Virginia,1350,11
2010-02,Washington,1325,12
2010-02,Massachusetts,,13
2010-02,Indiana,,14
2010-02,Arizona,,15
2010-02,Tennessee,,16
2010-02,Missouri,1175,17
2010-02,Maryland,1695,18
2010-02,Wisconsin,,19
2010-02,Minnesota,,20
2010-02,Colorado,1972.5,21
2010-02,Alabama,,22
2010-02,South Carolina,,23
2010-02,Louisiana,,24
2010-02,Kentucky,,25
2010-02,Oregon,,26
2010-02,Oklahoma,,27
2010-02,Connecticut,1900,28
2010-02,Iowa,,29
2010-02,Mississippi,,30
2010-02,Arkansas,887.5,31
2010-02,Kansas,,32
2010-02,Utah,,33
2010-02,Nevada,1385,34
2010-02,New Mexico,,35
2010-02,West Virginia,,36
2010-02,Nebraska,,37
2010-02,Idaho,,38
2010-02,Hawaii,2425,39
2010-02,Maine,,40
2010-02,New Hampshire,1450,41
2010-02,Rhode Island,,42
2010-02,Montana,,43
2010-02,Delaware,1295,44
2010-02,South Dakota,,45
2010-02,Alaska,,46
2010-02,North Dakota,,47
2010-02,District of Columbia,,48
2010-02,Wyoming,,49
2010-03,California,,1
2010-03,Texas,,2
2010-03,Florida,,3
2010-03,Illinois,1600,4
2010-03,Pennsylvania,1395,5
2010-03,Ohio,,6
2010-03,Michigan,1300,7
2010-03,Georgia,1200,8
2010-03,North Carolina,1000,9
2010-03,New Jersey,1650,10
2010-03,Virginia,1300,11
2010-03,Washington,1395,12
2010-03,Massachusetts,1450,13
2010-03,Indiana,,14
2010-03,Arizona,1425,15
2010-03,Tennessee,1050,16
2010-03,Missouri,1225,17
2010-03,Maryland,1650,18
2010-03,Wisconsin,,19
2010-03,Minnesota,,20
2010-03,Colorado,1850,21
2010-03,Alabama,,22
2010-03,South Carolina,1195,23
2010-03,Louisiana,1200,24
2010-03,Kentucky,,25
2010-03,Oregon,,26
2010-03,Oklahoma,,27
2010-03,Connecticut,1950,28
2010-03,Iowa,,29
2010-03,Mississippi,,30
2010-03,Arkansas,900,31
2010-03,Kansas,,32
2010-03,Utah,,33
2010-03,Nevada,1312.5,34
2010-03,New Mexico,,35
2010-03,West Virginia,,36
2010-03,Nebraska,,37
2010-03,Idaho,,38
2010-03,Hawaii,2500,39
2010-03,Maine,,40
2010-03,New Hampshire,1425,41
2010-03,Rhode Island,,42
2010-03,Montana,,43
2010-03,Delaware,1450,44
2010-03,South Dakota,,45
2010-03,Alaska,,46
2010-03,North Dakota,,47
2010-03,District of Columbia,2150,48
2010-03,Wyoming,,49
2010-04,California,,1
2010-04,Texas,,2
2010-04,Florida,,3
2010-04,Illinois,1600,4
2010-04,Pennsylvania,1400,5
2010-04,Ohio,,6
2010-04,Michigan,1275,7
2010-04,Georgia,1200,8
2010-04,North Carolina,1050,9
2010-04,New Jersey,1650,10
2010-04,Virginia,1350,11
2010-04,Washington,1400,12
2010-04,Massachusetts,1530,13
2010-04,Indiana,,14
2010-04,Arizona,1395,15
2010-04,Tennessee,1200,16
2010-04,Missouri,1100,17
2010-04,Maryland,1650,18
2010-04,Wisconsin,,19
2010-04,Minnesota,1597.5,20
2010-04,Colorado,1695,21
2010-04,Alabama,,22
2010-04,South Carolina,1200,23
2010-04,Louisiana,1200,24
2010-04,Kentucky,,25
2010-04,Oregon,,26
2010-04,Oklahoma,,27
2010-04,Connecticut,2200,28
2010-04,Iowa,,29
2010-04,Mississippi,,30
2010-04,Arkansas,850,31
2010-04,Kansas,,32
2010-04,Utah,,33
2010-04,Nevada,1295,34
2010-04,New Mexico,,35
2010-04,West Virginia,,36
2010-04,Nebraska,,37
2010-04,Idaho,,38
2010-04,Hawaii,2500,39
2010-04,Maine,,40
2010-04,New Hampshire,1600,41
2010-04,Rhode Island,,42
2010-04,Montana,,43
2010-04,Delaware,1400,44
2010-04,South Dakota,,45
2010-04,Alaska,,46
2010-04,North Dakota,,47
2010-04,District of Columbia,2000,48
2010-04,Wyoming,,49
2010-05,California,,1
2010-05,Texas,,2
2010-05,Florida,,3
2010-05,Illinois,1600,4
2010-05,Pennsylvania,1400,5
2010-05,Ohio,,6
2010-05,Michigan,1300,7
2010-05,Georgia,1200,8
2010-05,North Carolina,1100,9
2010-05,New Jersey,1700,10
2010-05,Virginia,1400,11
2010-05,Washington,1400,12
2010-05,Massachusetts,1587.5,13
2010-05,Indiana,,14
2010-05,Arizona,1350,15
2010-05,Tennessee,1300,16
2010-05,Missouri,1125,17
2010-05,Maryland,1700,18
2010-05,Wisconsin,,19
2010-05,Minnesota,1475,20
2010-05,Colorado,1495,21
2010-05,Alabama,1095,22
2010-05,South Carolina,1200,23
2010-05,Louisiana,1250,24
2010-05,Kentucky,1200,25
2010-05,Oregon,,26
2010-05,Oklahoma,,27
2010-05,Connecticut,2000,28
2010-05,Iowa,,29
2010-05,Mississippi,,30
2010-05,Arkansas,850,31
2010-05,Kansas,,32
2010-05,Utah,,33
2010-05,Nevada,1295,34
2010-05,New Mexico,,35
2010-05,West Virginia,,36
2010-05,Nebraska,,37
2010-05,Idaho,,38
2010-05,Hawaii,2500,39
2010-05,Maine,,40
2010-05,New Hampshire,1650,41
2010-05,Rhode Island,,42
2010-05,Montana,,43
2010-05,Delaware,1425,44
2010-05,South Dakota,,45
2010-05,Alaska,,46
2010-05,North Dakota,,47
2010-05,District of Columbia,2150,48
2010-05,Wyoming,,49
2010-06,California,,1
2010-06,Texas,,2
2010-06,Florida,,3
2010-06,Illinois,1675,4
2010-06,Pennsylvania,1400,5
2010-06,Ohio,,6
2010-06,Michigan,1300,7
2010-06,Georgia,1200,8
2010-06,North Carolina,1150,9
2010-06,New Jersey,1695,10
2010-06,Virginia,1500,11
2010-06,Washington,1475,12
2010-06,Massachusetts,1600,13
2010-06,Indiana,,14
2010-06,Arizona,1350,15
2010-06,Tennessee,1300,16
2010-06,Missouri,1100,17
2010-06,Maryland,1750,18
2010-06,Wisconsin,,19
2010-06,Minnesota,1600,20
2010-06,Colorado,1395,21
2010-06,Alabama,1100,22
2010-06,South Carolina,1250,23
2010-06,Louisiana,1250,24
2010-06,Kentucky,1197.5,25
2010-06,Oregon,,26
2010-06,Oklahoma,,27
2010-06,Connecticut,2300,28
2010-06,Iowa,,29
2010-06,Mississippi,,30
2010-06,Arkansas,900,31
2010-06,Kansas,,32
2010-06,Utah,,33
2010-06,Nevada,1300,34
2010-06,New Mexico,,35
2010-06,West Virginia,,36
2010-06,Nebraska,,37
2010-06,Idaho,,38
2010-06,Hawaii,2900,39
2010-06,Maine,,40
2010-06,New Hampshire,1600,41
2010-06,Rhode Island,,42
2010-06,Montana,,43
2010-06,Delaware,1360,44
2010-06,South Dakota,,45
2010-06,Alaska,,46
2010-06,North Dakota,,47
2010-06,District of Columbia,2500,48
2010-06,Wyoming,,49
2010-07,California,,1
2010-07,Texas,,2
2010-07,Florida,,3
2010-07,Illinois,1695,4
2010-07,Pennsylvania,1400,5
2010-07,Ohio,,6
2010-07,Michigan,1250,7
2010-07,Georgia,1200,8
2010-07,North Carolina,1150,9
2010-07,New Jersey,1650,10
2010-07,Virginia,1550,11
2010-07,Washington,1525,12
2010-07,Massachusetts,1540,13
2010-07,Indiana,,14
2010-07,Arizona,1300,15
2010-07,Tennessee,1296,16
2010-07,Missouri,1100,17
2010-07,Maryland,1750,18
2010-07,Wisconsin,,19
2010-07,Minnesota,1700,20
2010-07,Colorado,1350,21
2010-07,Alabama,1100,22
2010-07,South Carolina,1200,23
2010-07,Louisiana,1300,24
2010-07,Kentucky,1200,25
2010-07,Oregon,,26
2010-07,Oklahoma,,27
2010-07,Connecticut,2000,28
2010-07,Iowa,,29
2010-07,Mississippi,,30
2010-07,Arkansas,900,31
2010-07,Kansas,,32
2010-07,Utah,,33
2010-07,Nevada,1250,34
2010-07,New Mexico,,35
2010-07,West Virginia,,36
2010-07,Nebraska,,37
2010-07,Idaho,,38
2010-07,Hawaii,2600,39
2010-07,Maine,,40
2010-07,New Hampshire,1600,41
2010-07,Rhode Island,,42
2010-07,Montana,,43
2010-07,Delaware,1350,44
2010-07,South Dakota,,45
2010-07,Alaska,,46
2010-07,North Dakota,,47
2010-07,District of Columbia,2400,48
2010-07,Wyoming,,49
2010-08,California,,1
2010-08,Texas,,2
2010-08,Florida,,3
2010-08,Illinois,1600,4
2010-08,Pennsylvania,1400,5
2010-08,Ohio,,6
2010-08,Michigan,1200,7
2010-08,Georgia,1200,8
2010-08,North Carolina,1175,9
2010-08,New Jersey,1650,10
2010-08,Virginia,1450,11
2010-08,Washington,1600,12
2010-08,Massachusetts,1600,13
2010-08,Indiana,,14
2010-08,Arizona,1300,15
2010-08,Tennessee,1200,16
2010-08,Missouri,1150,17
2010-08,Maryland,1750,18
2010-08,Wisconsin,,19
2010-08,Minnesota,1695,20
2010-08,Colorado,1350,21
2010-08,Alabama,1050,22
2010-08,South Carolina,1200,23
2010-08,Louisiana,1250,24
2010-08,Kentucky,1075,25
2010-08,Oregon,,26
2010-08,Oklahoma,,27
2010-08,Connecticut,1932.5,28
2010-08,Iowa,,29
2010-08,Mississippi,,30
2010-08,Arkansas,900,31
2010-08,Kansas,,32
2010-08,Utah,,33
2010-08,Nevada,1250,34
2010-08,New Mexico,,35
2010-08,West Virginia,,36
2010-08,Nebraska,,37
2010-08,Idaho,,38
2010-08,Hawaii,2375,39
2010-08,Maine,,40
2010-08,New Hampshire,1600,41
2010-08,Rhode Island,,42
2010-08,Montana,,43
2010-08,Delaware,1400,44
2010-08,South Dakota,,45
2010-08,Alaska,,46
2010-08,North Dakota,,47
2010-08,District of Columbia,2100,48
2010-08,Wyoming,,49
2010-09,California,,1
2010-09,Texas,,2
2010-09,Florida,,3
2010-09,Illinois,1597.5,4
2010-09,Pennsylvania,1400,5
2010-09,Ohio,,6
2010-09,Michigan,1200,7
2010-09,Georgia,1200,8
2010-09,North Carolina,1150,9
2010-09,New Jersey,1600,10
2010-09,Virginia,1375,11
2010-09,Washington,1595,12
2010-09,Massachusetts,1515,13
2010-09,Indiana,,14
2010-09,Arizona,1275,15
2010-09,Tennessee,1250,16
2010-09,Missouri,1100,17
2010-09,Maryland,1700,18
2010-09,Wisconsin,,19
2010-09,Minnesota,1495,20
2010-09,Colorado,1250,21
2010-09,Alabama,995,22
2010-09,South Carolina,1195,23
2010-09,Louisiana,1150,24
2010-09,Kentucky,1062.5,25
2010-09,Oregon,,26
2010-09,Oklahoma,997.5,27
2010-09,Connecticut,1800,28
2010-09,Iowa,,29
2010-09,Mississippi,,30
2010-09,Arkansas,850,31
2010-09,Kansas,,32
2010-09,Utah,,33
2010-09,Nevada,1295,34
2010-09,New Mexico,,35
2010-09,West Virginia,,36
2010-09,Nebraska,,37
2010-09,Idaho,,38
2010-09,Hawaii,2300,39
2010-09,Maine,,40
2010-09,New Hampshire,1650,41
2010-09,Rhode Island,,42
2010-09,Montana,,43
2010-09,Delaware,1400,44
2010-09,South Dakota,,45
2010-09,Alaska,,46
2010-09,North Dakota,,47
2010-09,District of Columbia,2175,48
2010-09,Wyoming,,49
2010-10,California,,1
2010-10,Texas,,2
2010-10,Florida,,3
2010-10,Illinois,1600,4
2010-10,Pennsylvania,1397.5,5
2010-10,Ohio,,6
2010-10,Michigan,1150,7
2010-10,Georgia,1200,8
2010-10,North Carolina,1150,9
2010-10,New Jersey,1700,10
2010-10,Virginia,1300,11
2010-10,Washington,1550,12
2010-10,Massachusetts,1515,13
2010-10,Indiana,,14
2010-10,Arizona,1295,15
2010-10,Tennessee,1200,16
2010-10,Missouri,1000,17
2010-10,Maryland,1700,18
2010-10,Wisconsin,,19
2010-10,Minnesota,1410,20
2010-10,Colorado,1250,21
2010-10,Alabama,950,22
2010-10,South Carolina,1150,23
2010-10,Louisiana,1100,24
2010-10,Kentucky,1050,25
2010-10,Oregon,,26
2010-10,Oklahoma,1000,27
2010-10,Connecticut,1800,28
2010-10,Iowa,,29
2010-10,Mississippi,,30
2010-10,Arkansas,850,31
2010-10,Kansas,,32
2010-10,Utah,,33
