date,zri,RegionID,RegionName,SizeRank
2010-11,1991,9,california,1
2010-11,1234,54,texas,2
2010-11,1660,43,new york,3
2010-11,1293,14,florida,4
2010-11,1452,21,illinois,5
2010-11,1200,47,pennsylvania,6
2010-11,990,44,ohio,7
2010-11,1100,30,michigan,8
2010-11,1115,16,georgia,9
2010-11,998,36,north carolina,10
2010-11,1818,40,new jersey,11
2010-11,1304,56,virginia,12
2010-11,1364,59,washington,13
2010-11,1715,26,massachusetts,14
2010-11,1009,22,indiana,15
2010-11,1183,8,arizona,16
2010-11,959,53,tennessee,17
2010-11,951,32,missouri,18
2010-11,1684,27,maryland,19
2010-11,846,60,wisconsin,20
2010-11,1219,31,minnesota,21
2010-11,1314,10,colorado,22
2010-11,953,4,alabama,23
2010-11,1006,51,south carolina,24
2010-11,1200,25,louisiana,25
2010-11,979,24,kentucky,26
2010-11,1194,46,oregon,27
2010-11,907,45,oklahoma,28
2010-11,1750,11,connecticut,29
2010-11,1024,19,iowa,30
2010-11,949,34,mississippi,31
2010-11,799,6,arkansas,32
2010-11,897,23,kansas,33
2010-11,,55,utah,34
2010-11,1182,41,new mexico,35
2010-11,1065,61,west virginia,36
2010-11,1094,38,nebraska,37
2010-11,,20,idaho,38
2010-11,2309,18,hawaii,39
2010-11,,28,maine,40
2010-11,1486,39,new hampshire,41
2010-11,,35,montana,42
2010-11,1338,13,delaware,43
2010-11,,52,south dakota,44
2010-11,,3,alaska,45
2010-11,,37,north dakota,46
2010-11,2384,12,district of columbia,47
2010-11,,62,wyoming,48
2010-12,1984,9,california,1
2010-12,1228,54,texas,2
2010-12,1662,43,new york,3
2010-12,1293,14,florida,4
2010-12,1454,21,illinois,5
2010-12,1200,47,pennsylvania,6
2010-12,987,44,ohio,7
2010-12,1100,30,michigan,8
2010-12,1123,16,georgia,9
2010-12,996,36,north carolina,10
2010-12,1833,40,new jersey,11
2010-12,1306,56,virginia,12
2010-12,1374,59,washington,13
2010-12,1714,26,massachusetts,14
2010-12,1016,22,indiana,15
2010-12,1175,8,arizona,16
2010-12,963,53,tennessee,17
2010-12,948,32,missouri,18
2010-12,1673,27,maryland,19
2010-12,851,60,wisconsin,20
2010-12,1235,31,minnesota,21
2010-12,1324,10,colorado,22
2010-12,953,4,alabama,23
2010-12,1013,51,south carolina,24
2010-12,1192,25,louisiana,25
2010-12,967,24,kentucky,26
2010-12,1188,46,oregon,27
2010-12,922,45,oklahoma,28
2010-12,1730,11,connecticut,29
2010-12,1012,19,iowa,30
2010-12,949,34,mississippi,31
2010-12,799,6,arkansas,32
2010-12,896,23,kansas,33
2010-12,,55,utah,34
2010-12,1168,41,new mexico,35
2010-12,1096,61,west virginia,36
2010-12,1090,38,nebraska,37
2010-12,,20,idaho,38
2010-12,2307,18,hawaii,39
2010-12,,28,maine,40
2010-12,1487,39,new hampshire,41
2010-12,,35,montana,42
2010-12,1334,13,delaware,43
2010-12,,52,south dakota,44
2010-12,,3,alaska,45
2010-12,,37,north dakota,46
2010-12,2393,12,district of columbia,47
2010-12,,62,wyoming,48
2011-01,1971,9,california,1
2011-01,1226,54,texas,2
2011-01,1666,43,new york,3
2011-01,1291,14,florida,4
2011-01,1450,21,illinois,5
2011-01,1200,47,pennsylvania,6
2011-01,989,44,ohio,7
2011-01,1096,30,michigan,8
2011-01,1121,16,georgia,9
2011-01,995,36,north carolina,10
2011-01,1840,40,new jersey,11
2011-01,1305,56,virginia,12
2011-01,1380,59,washington,13
2011-01,1694,26,massachusetts,14
2011-01,1018,22,indiana,15
2011-01,1168,8,arizona,16
2011-01,959,53,tennessee,17
2011-01,943,32,missouri,18
2011-01,1669,27,maryland,19
2011-01,863,60,wisconsin,20
2011-01,1245,31,minnesota,21
2011-01,1337,10,colorado,22
2011-01,948,4,alabama,23
2011-01,1019,51,south carolina,24
2011-01,1178,25,louisiana,25
2011-01,961,24,kentucky,26
2011-01,1184,46,oregon,27
2011-01,931,45,oklahoma,28
2011-01,1715,11,connecticut,29
2011-01,1000,19,iowa,30
2011-01,949,34,mississippi,31
2011-01,799,6,arkansas,32
2011-01,892,23,kansas,33
2011-01,,55,utah,34
2011-01,1154,41,new mexico,35
2011-01,1063,61,west virginia,36
2011-01,1084,38,nebraska,37
2011-01,,20,idaho,38
2011-01,2304,18,hawaii,39
2011-01,,28,maine,40
2011-01,1492,39,new hampshire,41
2011-01,,35,montana,42
2011-01,1325,13,delaware,43
2011-01,,52,south dakota,44
2011-01,,3,alaska,45
2011-01,,37,north dakota,46
2011-01,2418,12,district of columbia,47
2011-01,,62,wyoming,48
2011-02,1963,9,california,1
2011-02,1221,54,texas,2
2011-02,1671,43,new york,3
2011-02,1287,14,florida,4
2011-02,1439,21,illinois,5
2011-02,1200,47,pennsylvania,6
2011-02,985,44,ohio,7
2011-02,1085,30,michigan,8
2011-02,1115,16,georgia,9
2011-02,994,36,north carolina,10
2011-02,1841,40,new jersey,11
2011-02,1306,56,virginia,12
2011-02,1384,59,washington,13
2011-02,1681,26,massachusetts,14
2011-02,1015,22,indiana,15
2011-02,1162,8,arizona,16
2011-02,957,53,tennessee,17
2011-02,939,32,missouri,18
2011-02,1666,27,maryland,19
2011-02,883,60,wisconsin,20
2011-02,1248,31,minnesota,21
2011-02,1350,10,colorado,22
2011-02,948,4,alabama,23
2011-02,1012,51,south carolina,24
2011-02,1168,25,louisiana,25
2011-02,955,24,kentucky,26
2011-02,1182,46,oregon,27
2011-02,897,45,oklahoma,28
2011-02,1709,11,connecticut,29
2011-02,990,19,iowa,30
2011-02,943,34,mississippi,31
2011-02,801,6,arkansas,32
2011-02,878,23,kansas,33
2011-02,1200,55,utah,34
2011-02,1138,41,new mexico,35
2011-02,1023,61,west virginia,36
2011-02,1084,38,nebraska,37
2011-02,,20,idaho,38
2011-02,2241,18,hawaii,39
2011-02,1000,28,maine,40
2011-02,1491,39,new hampshire,41
2011-02,,35,montana,42
2011-02,1312,13,delaware,43
2011-02,,52,south dakota,44
2011-02,,3,alaska,45
2011-02,,37,north dakota,46
2011-02,2441,12,district of columbia,47
2011-02,,62,wyoming,48
2011-03,1953,9,california,1
2011-03,1218,54,texas,2
2011-03,1684,43,new york,3
2011-03,1279,14,florida,4
2011-03,1423,21,illinois,5
2011-03,1200,47,pennsylvania,6
2011-03,979,44,ohio,7
2011-03,1068,30,michigan,8
2011-03,1107,16,georgia,9
2011-03,994,36,north carolina,10
2011-03,1842,40,new jersey,11
2011-03,1308,56,virginia,12
2011-03,1387,59,washington,13
2011-03,1675,26,massachusetts,14
2011-03,1010,22,indiana,15
2011-03,1154,8,arizona,16
2011-03,954,53,tennessee,17
2011-03,938,32,missouri,18
2011-03,1664,27,maryland,19
2011-03,914,60,wisconsin,20
2011-03,1248,31,minnesota,21
2011-03,1364,10,colorado,22
2011-03,946,4,alabama,23
2011-03,1003,51,south carolina,24
2011-03,1166,25,louisiana,25
2011-03,950,24,kentucky,26
2011-03,1182,46,oregon,27
2011-03,894,45,oklahoma,28
2011-03,1703,11,connecticut,29
2011-03,986,19,iowa,30
2011-03,934,34,mississippi,31
2011-03,808,6,arkansas,32
2011-03,862,23,kansas,33
2011-03,1200,55,utah,34
2011-03,1125,41,new mexico,35
2011-03,976,61,west virginia,36
2011-03,1084,38,nebraska,37
2011-03,895,20,idaho,38
2011-03,2220,18,hawaii,39
2011-03,929,28,maine,40
2011-03,1486,39,new hampshire,41
2011-03,,35,montana,42
2011-03,1303,13,delaware,43
2011-03,,52,south dakota,44
2011-03,1684,3,alaska,45
2011-03,,37,north dakota,46
2011-03,2448,12,district of columbia,47
2011-03,,62,wyoming,48
2011-04,1950,9,california,1
2011-04,1216,54,texas,2
2011-04,1697,43,new york,3
2011-04,1274,14,florida,4
2011-04,1415,21,illinois,5
2011-04,1200,47,pennsylvania,6
2011-04,968,44,ohio,7
2011-04,1053,30,michigan,8
2011-04,1102,16,georgia,9
2011-04,995,36,north carolina,10
2011-04,1843,40,new jersey,11
2011-04,1315,56,virginia,12
2011-04,1388,59,washington,13
2011-04,1684,26,massachusetts,14
2011-04,1007,22,indiana,15
2011-04,1151,8,arizona,16
2011-04,949,53,tennessee,17
2011-04,937,32,missouri,18
2011-04,1664,27,maryland,19
2011-04,935,60,wisconsin,20
2011-04,1250,31,minnesota,21
2011-04,1371,10,colorado,22
2011-04,944,4,alabama,23
2011-04,996,51,south carolina,24
2011-04,1173,25,louisiana,25
2011-04,946,24,kentucky,26
2011-04,1183,46,oregon,27
2011-04,886,45,oklahoma,28
2011-04,1701,11,connecticut,29
2011-04,979,19,iowa,30
2011-04,923,34,mississippi,31
2011-04,816,6,arkansas,32
2011-04,858,23,kansas,33
2011-04,1199,55,utah,34
2011-04,1127,41,new mexico,35
2011-04,948,61,west virginia,36
2011-04,1088,38,nebraska,37
2011-04,895,20,idaho,38
2011-04,2175,18,hawaii,39
2011-04,891,28,maine,40
2011-04,1484,39,new hampshire,41
2011-04,1100,35,montana,42
2011-04,1306,13,delaware,43
2011-04,,52,south dakota,44
2011-04,1699,3,alaska,45
2011-04,,37,north dakota,46
2011-04,2445,12,district of columbia,47
2011-04,,62,wyoming,48
2011-05,1950,9,california,1
2011-05,1217,54,texas,2
2011-05,1704,43,new york,3
2011-05,1270,14,florida,4
2011-05,1414,21,illinois,5
2011-05,1201,47,pennsylvania,6
2011-05,964,44,ohio,7
2011-05,1052,30,michigan,8
2011-05,1099,16,georgia,9
2011-05,1000,36,north carolina,10
2011-05,1844,40,new jersey,11
2011-05,1326,56,virginia,12
2011-05,1390,59,washington,13
2011-05,1694,26,massachusetts,14
2011-05,1007,22,indiana,15
2011-05,1150,8,arizona,16
2011-05,949,53,tennessee,17
2011-05,943,32,missouri,18
2011-05,1667,27,maryland,19
2011-05,957,60,wisconsin,20
2011-05,1258,31,minnesota,21
2011-05,1380,10,colorado,22
2011-05,941,4,alabama,23
2011-05,998,51,south carolina,24
2011-05,1178,25,louisiana,25
2011-05,946,24,kentucky,26
2011-05,1187,46,oregon,27
2011-05,881,45,oklahoma,28
2011-05,1702,11,connecticut,29
2011-05,986,19,iowa,30
2011-05,921,34,mississippi,31
2011-05,827,6,arkansas,32
2011-05,876,23,kansas,33
2011-05,1198,55,utah,34
2011-05,1143,41,new mexico,35
2011-05,925,61,west virginia,36
2011-05,1097,38,nebraska,37
2011-05,899,20,idaho,38
2011-05,2141,18,hawaii,39
2011-05,892,28,maine,40
2011-05,1486,39,new hampshire,41
2011-05,1103,35,montana,42
2011-05,1314,13,delaware,43
2011-05,998,52,south dakota,44
2011-05,1699,3,alaska,45
2011-05,,37,north dakota,46
2011-05,2429,12,district of columbia,47
2011-05,,62,wyoming,48
2011-06,1953,9,california,1
2011-06,1219,54,texas,2
2011-06,1709,43,new york,3
2011-06,1270,14,florida,4
